Metabolite	Formula	Labeling	Ion Type	RT Start (min)	RT End (min)	m/z Tolerance (ppm)	RT Tolerance (min)	mz	obs_mz	ppm	winner	is_global_winner	RT	RT_min	RT_max	RT_range	detections	S07897	S07898	S07899	S07900	S07901	S07902	S07903	S07904	S07905	S07906	S07907	S07908	S07909	S07910	S07911	S07912	S07913	S07914	S07915	S07916	SQ464_B_0	SQ464_B_1	SQ464_B_2	SQ464_B_3	SQ464_B_4	SQ464_B_5	SQ464_ISTD_0	SQ464_ISTD_1	SQ464_ISTD_2
Acetyl-CoA	C23H38N7O17P3S		[M+H]+	8.0	11.0	15.0	0.2	810.1331	810.1254	-9.5	SQ464_ISTD_0	Yes	9.29	9.29	9.29	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4809	0	0
Acetylcysteine	C5H9NO3S		[M+H]+	6.0	8.0	15.0	0.2	164.0376	164.0395	11.6	S07901	Yes	6.22	6.19	6.22	0.04	2	0	0	0	0	2207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613	0	0	0	0	0
Adenine	C5H5N5		[M+H]+	5.0	7.0	15.0	0.2	136.0618	136.0616	-1.3	S07903	Yes	6.48	6.39	6.51	0.12	29	15650366	9202293	13597168	12378241	15262330	12792895	16145097	16141164	13641580	13212730	13654346	13074121	79086	63551	670417	57038	473088	625640	512384	472415	147797	58618	329753	53889	44597	53218	143149	139105	93453
Adenosine	C10H13N5O4		[M+H]+	4.5	7.0	15.0	0.2	268.1040	268.1035	-2.0	S07901	Yes	6.14	6.07	6.15	0.08	29	16482388	8909587	14180562	12137596	16630178	12581123	15685623	16610381	13032429	13056135	13499321	12806741	1505627	1666868	2442864	1182921	1742467	1769633	2146729	1979838	2599981	1891206	2130645	1431622	1174189	1011228	2053672	1684706	1032115
Adenosine diphosphate ribose	C15H23N5O14P2		[M-H]-	10.9	12.9	15.0	0.2	558.0644	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adenosine monophosphate	C10H14N5O7P		[M+H]+	9.8	11.8	15.0	0.2	348.0704	348.0676	-7.9	S07898	Yes	10.98	10.86	10.99	0.13	29	74041	105701	47396	42689	97507	38693	47455	36644	61687	74541	74585	73901	14800	17193	24511	12919	24634	21165	25631	22261	26286	24315	28619	19135	13264	9133	26310	21935	14808
Adenosine triphosphate	C10H16N5O13P3		[M-H]-	12.5	14.5	15.0	0.2	505.9885	505.9908	4.6	S07908	Yes	13.93	13.70	14.16	0.45	29	2628	3983	2623	5511	3160	2121	2404	1564	4389	5213	2489	7066	2378	2707	2820	2634	5071	2057	2825	2205	6761	5250	5886	5294	4872	2557	5897	2737	2403
Adenylsuccinic acid	C14H18N5O11P		[M-H]-	14.5	16.5	15.0	0.2	462.0668	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADP	C10H15N5O10P2		[M-H]-	11.1	13.1	15.0	0.2	426.0221	426.0226	1.1	S07915	Yes	12.02	11.89	12.02	0.13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1267	0	0	0	1488	0	0	0	0	0	0	0	0	0	0
Allantoin	C4H6N4O3		[M-H]-	9.3	11.3	15.0	0.2	157.0367	157.0353	-9.0	SQ464_B_5	Yes	9.62	9.62	9.62	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1475	0	0	0
Aminoadipic acid	C6H11NO4		[M-H]-	5.9	7.9	15.0	0.2	160.0615	160.0621	3.5	S07913	Yes	6.49	6.25	6.71	0.45	29	2451	16972	1745	1715	2246	35881	26548	1355	12538	15477	1864	1549	2302	1728	1392	1546	140745	1687	15748	83964	2726	2245	2168	2105	15485	2217	4746	38424	4043
Argininosuccinic acid	C10H18N4O6		[M-H]-	12.5	14.5	15.0	0.2	289.1154	289.1152	-0.6	S07915	Yes	13.15	13.15	13.15	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1273	0	0	0	0	0	0	0	0	0	0
Beta-Alanine	C3H7NO2		[M+H]+	9.8	10.5	15.0	0.2	90.0550	90.0556	7.2	S07901	Yes	10.49	10.24	10.49	0.25	29	11808	12000	5394	9771	22182	10566	10997	9488	9891	13062	11861	9410	13299	16260	19112	13526	11793	11428	15902	13339	13405	13266	11328	12171	15193	12823	12281	16317	12782
Betaine	C5H11NO2		[M+H]+	7.0	8.2	15.0	0.2	118.0863	118.0864	1.2	S07898	Yes	8.07	8.00	8.08	0.08	29	418192	1751030	286726	318826	448512	419759	760550	353085	341038	369112	346388	275856	226230	268416	395251	253032	276508	271779	425585	298595	298736	287734	325352	322985	287388	325384	166653	158596	169216
Butyrylcarnitine	C11H21NO4		[M+H]+	4.2	6.2	15.0	0.2	232.1543	232.1552	3.7	S07901	Yes	5.43	5.37	5.49	0.11	29	10735	14699	20183	20982	25506	14727	23231	16158	23177	17465	6989	13408	7258	24073	21613	8849	9737	16105	14015	14948	17393	20958	11511	16881	23427	14266	17777	6930	7348
Carbamoyl phosphate	CH4NO5P		[M-H]-	27.0	30.0	15.0	0.2	139.9754	139.9743	-8.1	S07907	Yes	27.70	27.67	27.94	0.28	29	10206750	10543063	10288708	9785653	9998067	10120173	9614896	9929443	10138640	10288336	10567354	10363156	180540	8607	663947	29911	673394	921772	769785	628531	9107	7588	669914	33408	12692	10047	8797	111518	8801
Carnosine	C9H14N4O3		[M+H]+	10.6	12.6	15.0	0.2	227.1139	227.1127	-5.1	S07911	Yes	11.15	10.91	11.15	0.24	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2618	0	0	0	0	0	0	0	0	0	0	0	0	2409	0
CDP	C9H15N3O11P2		[M+H]+	13.0	15.0	15.0	0.2	404.0255	404.0247	-1.9	SQ464_ISTD_0	Yes	13.36	13.36	13.36	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1859	0	0
Choline	C5H14NO		[Cat]+	11.0	15.0	15.0	0.2	104.1070	104.1072	2.0	S07902	Yes	15.00	14.76	15.00	0.24	29	25153	904186	47937	64274	33358	6888846	27516	85472	52456	98117	79099	90429	6123	6495	10610	6415	6783	7583	8383	6897	7479	9585	6347	6799	6226	5924	8330	6722	7661
cis-Aconitic acid	C6H6O6		[M-H]-	14.1	16.1	15.0	0.2	173.0092	173.0087	-2.7	SQ464_ISTD_0	Yes	15.09	14.98	15.28	0.30	24	1365	2110	2504	0	2583	1331	1640	0	1938	1938	0	2244	1630	2633	0	1978	1444	1154	2026	2113	3053	1792	1443	0	1811	1127	6600	2507	1782
Citric acid	C6H8O7		[M-H]-	14.2	16.2	15.0	0.2	191.0197	191.0188	-4.9	SQ464_B_0	Yes	15.63	15.50	15.84	0.34	29	32539	26048	34201	13789	51020	15678	14056	15463	36894	22267	43244	53605	13102	59102	41440	11715	16295	19235	35881	17720	94390	56509	24519	19918	13405	13041	57714	22209	11364
Citrulline	C6H13N3O3		[M+H]+	10.9	12.9	15.0	0.2	176.1030	176.1028	-1.0	S07906	Yes	12.27	12.19	12.34	0.15	29	49391	12141	20423	13473	22796	53684	21818	23819	22494	733329	13988	9501	10690	8204	9414	6300	9415	16290	13085	202049	21620	24798	25103	26385	24231	29597	20548	11877	15422
Creatine	C4H9N3O2		[M+H]+	10.0	11.5	15.0	0.2	132.0768	132.0767	-0.4	S07899	Yes	11.09	10.99	11.17	0.18	29	152856	383990	426231	374128	255799	310250	57420	124580	125553	37501	94068	44170	23111	14171	45242	19946	24504	16194	25691	24113	91122	76247	113311	70837	96810	96681	32937	33225	21968
Creatinine	C4H7N3O		[M+H]+	5.2	7.2	15.0	0.2	114.0662	114.0664	1.9	S07900	Yes	6.00	5.76	6.23	0.47	29	3130	3506	8076	591105	4067	33717	12341	15913	3432	3103	41083	9235	5855	2811	3751	8313	17871	3484	34484	2888	8685	4323	5982	6560	6248	6101	8066	3670	15703
Cyclic AMP	C10H12N5O6P		[M-H]-	5.8	7.8	15.0	0.2	328.0452	328.0444	-2.6	S07901	Yes	6.96	6.85	6.97	0.12	12	15503	12085	12040	13386	17371	15760	16368	15128	13230	15502	14067	14712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cytidine	C9H13N3O5		[M+H]+	7.1	9.1	15.0	0.2	244.0928	244.0925	-1.2	SQ464_B_0	Yes	8.53	8.51	8.58	0.08	29	601347	292365	745342	144983	1065346	196691	145279	194153	528690	241987	589161	1169192	121512	1258320	769454	122662	137819	190554	473415	225134	2140415	1330520	371154	234692	101262	92207	1385889	289106	99011
Cytidine monophosphate	C9H14N3O8P		[M+H]+	11.8	13.8	15.0	0.2	324.0591	324.0567	-7.5	SQ464_B_0	Yes	12.46	12.33	12.50	0.17	29	7461	5948	6608	1917	7195	2029	2169	2522	3853	2404	4181	6963	1933	9730	7336	2359	2315	2164	6775	2731	19379	10563	2875	2894	1896	1667	11766	2666	1795
Cytidine triphosphate	C9H16N3O14P3		[M-H]-	15.0	20.0	15.0	0.2	481.9772	481.9755	-3.6	S07914	Yes	17.04	17.04	17.04	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1404	0	0	0	0	0	0	0	0	0	0	0
Cytosine	C4H5N3O		[M+H]+	9.0	11.0	15.0	0.2	112.0505	112.0512	5.9	SQ464_B_0	Yes	9.06	9.00	9.31	0.30	29	11988	9579	8742	9144	12566	9206	8593	8592	7862	8327	13985	10433	8475	9098	10371	9289	10070	8835	3996	8933	15073	11569	9042	7566	7801	8845	11277	9205	8640
D-2-Hydroxyglutaric acid	C5H8O5		[M-H]-	11.6	13.6	15.0	0.2	147.0299	147.0289	-6.8	SQ464_B_0	Yes	12.04	11.79	12.21	0.41	29	31781	29406	44012	20097	169200	20659	15947	20137	26555	25617	45830	65118	16575	81074	102979	19352	16180	22377	33930	29982	260471	108680	27200	22545	17086	16408	164802	27749	19358
D-Glucose	C6H12O6		[M-H]-	9.0	11.0	15.0	0.2	179.0561	179.0552	-5.1	S07897	Yes	9.85	9.69	10.09	0.40	29	335025	146765	5611	4550	12905	2542	4526	14629	12940	4609	4874	3299	5529	5861	5819	2350	4987	5776	7854	2567	7665	3170	15989	5903	5323	5212	3069	5460	4542
D-Glyceraldehyde 3-phosphate	C3H7O6P		[M-H]-	13.0	14.0	15.0	0.2	168.9908	168.9888	-11.5	SQ464_B_0	Yes	13.16	13.02	13.37	0.35	15	1615	1386	1324	0	1311	1356	0	1144	0	0	1362	1527	0	2004	0	1394	0	1042	0	0	3265	1836	1539	0	0	0	2189	0	0
Dihydrofolic acid	C19H21N7O6		[M+H]+	13.0	16.0	15.0	0.2	444.1626	444.1634	1.8	S07915	Yes	14.91	14.91	14.91	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1452	0	0	0	0	0	0	0	0	0	0
Dihydroxyacetone phosphate	C3H7O6P		[M-H]-	12.0	13.0	15.0	0.2	168.9908	168.9883	-14.5	SQ464_B_1	Yes	12.77	12.58	12.97	0.39	17	1635	0	1763	0	1983	1408	1165	1721	0	1430	1999	1765	0	1364	1323	0	0	0	1274	0	2364	2569	1366	1423	0	0	1486	0	0
D-Ribose 5-phosphate	C5H11O8P		[M-H]-	12.4	13.8	15.0	0.2	229.0119	229.0087	-13.9	S07915	Yes	12.75	12.72	12.75	0.03	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1461	0	0	0	0	1574	0	0	0	0	0	0	0	0	0	0
D-Sedoheptulose 7-phosphate	C7H15O10P		[M-H]-	12.2	14.2	15.0	0.2	289.0330	289.0333	1.0	SQ464_B_4	Yes	12.28	12.28	12.28	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1534	0	0	0	0
dTDP	C10H16N2O11P2		[M-H]-	11.0	13.0	15.0	0.2	401.0157	401.0114	-10.6	S07908	Yes	12.52	12.52	12.63	0.11	2	0	0	0	0	0	0	0	0	0	0	0	1640	0	0	0	0	0	1235	0	0	0	0	0	0	0	0	0	0	0
FAD	C27H33N9O15P2		[M+H]+	7.6	9.6	15.0	0.2	786.1644	786.1577	-8.5	S07903	Yes	8.28	8.28	8.28	0.00	1	0	0	0	0	0	0	2619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Folic acid	C19H19N7O6		[M+H]+	13.0	16.0	15.0	0.2	442.1470	442.1417	-11.9	S07899	Yes	14.25	14.25	14.25	0.00	1	0	0	1764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Fructose 1,6-bisphosphate"	C6H14O12P2		[M-H]-	14.1	16.1	15.0	0.2	338.9888	338.9861	-7.9	S07911	Yes	15.28	15.28	15.28	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1306	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fructose 6-phosphate	C6H13O9P		[M-H]-	12.6	13.5	15.0	0.2	259.0224	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fumaric acid	C4H4O4		[M-H]-	12.2	14.2	15.0	0.2	115.0037	115.0027	-8.6	S07911	Yes	13.24	13.13	13.43	0.30	29	7263	6386	7916	7504	3158	5593	5610	6967	7436	4894	6469	7266	2406	5686	8412	7094	7036	7422	6744	5996	7930	7289	6301	7356	6444	6413	6615	6075	6359
Glucose 6-phosphate	C6H13O9P		[M-H]-	13.6	14.4	15.0	0.2	259.0224	259.0260	13.7	S07901	Yes	13.63	13.63	13.63	0.00	1	0	0	0	0	1570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glutathione	C10H17N3O6S		[M+H]+	10.0	13.0	15.0	0.2	308.0911	308.0911	0.0	SQ464_B_5	Yes	11.48	11.48	11.48	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2003	0	0	0
Glycerol 3-phosphate	C3H9O6P		[M-H]-	11.5	13.0	15.0	0.2	171.0064	171.0059	-2.9	S07910	Yes	12.07	11.91	12.22	0.31	9	0	1294	0	0	0	0	0	0	1529	0	0	0	1236	1897	0	1272	1306	0	0	0	1421	1448	0	0	0	0	0	1385	0
Glycine	C2H5NO2		[M+H]+	10.7	12.7	15.0	0.2	76.0393	76.0399	7.8	S07901	Yes	12.08	12.01	12.12	0.11	29	1517345	175435	3601731	39066	58019652	84303	33423	45635	622333	115830	10060373	30611	20000	38681	27159062	20185	27172	32318	279816	59796	121457	108923	215291	163149	125978	125544	32524	109549	44393
Guanidoacetic acid	C3H7N3O2		[M+H]+	10.7	12.7	15.0	0.2	118.0611	118.0614	2.5	S07901	Yes	12.08	12.02	12.19	0.17	29	12515	26827	31772	33045	45304	23996	10391	27745	32445	8113	34072	15232	3222	6755	6111	2733	7140	8967	7769	7493	12137	2899	8380	6945	8360	6828	2822	5794	2529
Guanine	C5H5N5O		[M+H]+	7.7	9.7	15.0	0.2	152.0567	152.0566	-0.6	SQ464_B_0	Yes	7.80	7.77	7.86	0.09	29	588124	377152	706247	259232	684043	350046	250206	316268	607668	376610	621722	817853	217156	810594	738014	187651	272081	280199	565651	370294	1301334	932742	491534	344177	175253	153108	906155	392062	170060
Guanosine	C10H13N5O5		[M+H]+	7.7	9.7	15.0	0.2	284.0989	284.0981	-3.0	SQ464_B_0	Yes	9.15	9.15	9.24	0.09	29	130503	105645	194929	82192	199156	73906	73375	85531	123948	87193	165995	200904	67994	178457	170500	59906	76881	76367	123960	88930	415902	182410	101568	86826	52267	55964	158529	107557	55672
Guanosine diphosphate	C10H15N5O11P2		[M-H]-	13.8	15.8	15.0	0.2	442.0171	442.0143	-6.2	S07913	Yes	14.56	14.56	14.56	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1209	0	0	0	0	0	0	0	0	0	0	0	0
Guanosine monophosphate	C10H14N5O8P		[M+H]+	12.6	14.6	15.0	0.2	364.0653	364.0615	-10.4	SQ464_B_0	Yes	13.73	13.73	13.92	0.20	29	8320	5320	6729	5172	8210	2844	2459	2314	6435	2078	7110	8952	2889	8412	8405	3888	2320	5506	6744	5130	13395	11298	8029	6681	1820	1753	8861	5202	2555
Guanosine triphosphate	C10H16N5O14P3		[M-H]-	15.0	17.0	15.0	0.2	521.9834	521.9908	14.2	S07915	Yes	16.58	16.58	16.58	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1721	0	0	0	0	0	0	0	0	0	0
Homocysteine	C4H9NO2S		[M-H]-	7.3	9.3	15.0	0.2	134.0281	134.0287	4.3	SQ464_B_0	Yes	8.29	8.16	8.29	0.13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1806	0	0	0	0	1110	0	0	0
Hypotaurine	C2H7NO2S		[M+H]+	10.0	12.0	15.0	0.2	110.0270	110.0276	5.2	S07909	Yes	11.10	11.10	11.10	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	1906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hypoxanthine	C5H4N4O		[M+H]+	5.8	7.8	15.0	0.2	137.0458	137.0458	0.1	S07897	Yes	7.18	7.13	7.25	0.12	29	312101	104564	204366	219562	280996	149797	273605	252780	232195	141313	154374	114182	17043	12363	81089	16332	69622	61313	71920	35509	22526	26870	76256	39664	29846	26870	15267	23630	15754
Inosine	C10H12N4O5		[M+H]+	6.4	8.4	15.0	0.2	269.0880	269.0881	0.2	S07900	Yes	7.83	7.70	7.91	0.20	14	16178	8345	15986	20398	17017	20320	16033	18753	16658	14208	16168	16090	0	0	2346	0	2214	0	0	0	0	0	0	0	0	0	0	0	0
Inosinic acid	C10H13N4O8P		[M+H]+	11.4	13.4	15.0	0.2	349.0544	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L-Acetylcarnitine	C9H17NO4		[M+H]+	6.3	8.3	15.0	0.2	204.1230	204.1251	10.1	S07910	Yes	6.72	6.49	6.96	0.47	29	23790	10622	15167	9453	17737	24088	10409	9409	11589	8615	10547	10513	8670	37788	13821	9528	11686	12180	8325	9883	11840	10693	9638	9840	10039	9026	15837	10181	13646
L-Alanine	C3H7NO2		[M+H]+	10.6	11.2	15.0	0.2	90.0550	90.0555	6.0	S07901	Yes	11.18	11.10	11.20	0.10	29	457590	113399	147174	34806	568464	53924	60167	95556	100458	280841	43357	47216	23318	73134	63942	53377	23136	25138	42694	100107	490634	459427	455875	400820	462278	434159	76411	68453	53879
L-Arginine	C6H14N4O2		[M+H]+	18.5	21.0	15.0	0.2	175.1190	175.1189	-0.3	S07906	Yes	20.33	20.23	20.45	0.21	29	167474	154994	151296	191441	250040	202877	225701	265104	158796	276198	194326	271706	68593	183206	108240	70758	87425	91209	63392	89977	271283	220934	86217	59484	86813	74626	226658	59844	67314
L-Asparagine	C4H8N2O3		[M+H]+	10.3	12.3	15.0	0.2	133.0608	133.0611	2.5	S07901	Yes	11.16	10.93	11.38	0.45	26	2102	2060	1812	2334	16979	2509	1380	1897	1760	1994	2904	2488	1987	2391	4452	1874	0	1808	2144	2085	3956	2645	2824	1587	2383	2280	0	2192	0
L-Aspartic acid	C4H7NO4		[M-H]-	10.8	12.8	15.0	0.2	132.0302	132.0292	-7.8	S07901	Yes	12.05	11.92	12.10	0.18	29	24100	8679	12348	5851	55189	6979	6272	7847	13827	11916	13934	9188	2726	7315	22712	5359	5610	6391	11876	10907	15082	14960	16232	14262	11998	11363	8797	11411	7095
L-Carnitine	C7H16NO3		[Cat]+	8.3	10.3	15.0	0.2	162.1125	162.1127	1.4	S07901	Yes	9.93	9.78	10.06	0.27	29	17403	16099	20567	20140	21819	19167	10900	10654	10900	14190	21705	10922	7490	12114	10043	10007	18716	8903	11563	10733	21292	16645	21702	18144	13701	10415	14438	14023	10809
L-Cystathionine	C7H14N2O4S		[M+H]+	12.2	14.2	15.0	0.2	223.0747	223.0716	-13.9	SQ464_B_1	Yes	13.64	13.49	13.64	0.14	2	0	0	0	0	0	0	0	0	0	0	0	1671	0	0	0	0	0	0	0	0	0	2058	0	0	0	0	0	0	0
L-Cysteine	C3H7NO2S		[M+H]+	13.0	17.0	15.0	0.2	122.0270	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L-Cystine	C6H12N2O4S2		[M-H]-	11.7	13.7	15.0	0.2	239.0166	239.0187	8.9	S07899	Yes	12.40	12.40	12.40	0.00	1	0	0	1327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L-Glutamic acid	C5H9NO4		[M+H]+	10.0	13.0	15.0	0.2	148.0604	148.0602	-1.6	S07916	Yes	11.74	11.68	11.78	0.09	29	197817	403924	385494	213858	1094045	1279172	293882	1333218	942716	50580	918971	25991	47199	39170	348809	59764	204089	1162286	1880839	5118666	234858	83618	211561	49721	43439	33289	107668	92571	39736
L-Glutamine	C5H10N2O3		[M+H]+	10.1	12.1	15.0	0.2	147.0764	147.0765	0.5	SQ464_B_0	Yes	11.49	11.42	11.53	0.11	29	93067	111175	167387	108521	129229	96360	53172	92720	105878	56273	72827	47999	44770	32073	62365	33119	70551	42464	45066	48626	177637	39441	42164	28181	29095	28144	47673	29748	19180
L-Histidine	C6H9N3O2		[M+H]+	9.9	11.9	15.0	0.2	156.0768	156.0764	-2.3	S07906	Yes	11.13	10.95	11.25	0.30	29	904331	237435	307044	215149	770746	313208	264234	301202	284723	1026217	233065	165709	166543	129989	277721	186895	217336	355258	258182	526951	137743	251788	562762	697874	554998	707803	81599	327617	260558
L-Isoleucine	C6H13NO2		[M+H]+	6.0	7.5	15.0	0.2	132.1019	132.1019	-0.0	SQ464_B_3	Yes	7.44	7.23	7.45	0.22	29	213728	75833	74735	54517	205016	59734	57130	68018	74624	63836	65627	80745	59906	70684	57539	58945	58459	59613	62188	62067	170810	181694	180013	271067	184514	224616	52013	56881	48047
L-Kynurenine	C10H12N2O3		[M+H]+	6.0	8.0	15.0	0.2	209.0921	209.0926	2.5	SQ464_B_1	Yes	7.36	7.16	7.61	0.45	18	0	0	2877	0	2618	2948	0	0	0	2072	2754	2625	2377	0	2470	2086	0	2916	2210	3077	0	3582	3048	2302	0	2306	3120	2152	0
L-Lactic acid	C3H6O3		[M-H]-	6.2	8.2	15.0	0.2	89.0244	89.0232	-13.7	S07910	Yes	7.06	7.04	7.13	0.09	29	2304492	1975746	1610967	1963724	2306400	1410287	1439218	1850357	2576309	1913622	1968635	3546768	1389389	5140834	1771310	4223370	1334663	2561691	3714682	1419646	4312888	3900766	3298287	3192639	3098137	3067330	4046783	3338298	3148070
L-Leucine	C6H13NO2		[M+H]+	7.5	9.0	15.0	0.2	132.1019	132.1019	-0.0	S07901	Yes	7.60	7.51	7.65	0.14	29	671955	163409	233140	108816	839308	106667	108517	177369	132128	233866	87526	119752	77225	119915	119949	126987	76263	86659	84618	128066	557915	520249	594209	588332	523040	559431	102811	124352	90382
L-Lysine	C6H14N2O2		[M+H]+	18.0	20.0	15.0	0.2	147.1128	147.1129	0.6	S07901	Yes	19.28	19.17	19.44	0.27	29	21652	14928	16305	12885	36460	16131	15272	16970	16612	26346	20745	25810	7017	14576	12708	8548	8551	10002	8956	11707	17379	18768	13843	14091	10711	14666	19298	10300	9012
