Metabolite,SQ567_Blank_0,SQ567_Blank_1,SQ567_Blank_2,SQ567_Blank_3,SQ567_Blank_4,SQ567_Blank_5
131         Succinic acid,548588,90399,711929,126602,319271,82404
132         Taurine,14756,0,7074,1471,3138,1470
133         Thymidine,4076,10788,3281,4744,6178,3070
134         Uracil,10346,11539,5835,5852,5900,6252
135         Ureidopropionic acid,3945,0,6056,1026,2195,1267
136         Ureidosuccinic acid,2174,0,0,0,0,0
137         Uric acid,0,0,0,0,0,0
138         Uridine,14009,2303,1658,1692,1340,1265
139         Uridine 5'-diphosphate,0,0,1177,0,0,0
140         Uridine 5'-monophosphate,9543,0,0,0,0,0
141         Uridine diphosphate glucose,0,0,0,0,0,0
142         Uridine diphosphate-N-acetylglucosamine,0,0,1291,1712,0,0
143         Uridine triphosphate,0,0,0,0,0,0
144         Valerylcarnitine,5170,3164,3270,3275,2681,2520
145         Xanthine,57127,2019,17785,2112,10425,1823
146         Xanthosine,0,0,0,0,0,0
147         Xanthylic acid,0,0,0,0,0,0
