Metabolite,Before dialysis 1_1,Before dialysis 1_2,Before dialysis 2_1,Before dialysis 2_2,After dialysis 1_1,After dialysis 1_2,After dialysis 2_1,After dialysis 2_2
"50         Fructose 1,6-bisphosphate",10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0
51         Fructose 6-phosphate,26920.0,14637.0,23729.0,17023.0,14569.5,14569.5,22757.0,18854.0
52         Fumaric acid,7397215.0,5528028.0,7005761.0,6111049.0,238358.0,397689.0,623804.0,481916.0
53         Glucose 6-phosphate,43586.0,20892.0,33791.0,30928.0,20107.0,19241.0,20272.0,22061.0
54         Glutathione,35650.0,35650.0,35650.0,35650.0,35650.0,35650.0,35650.0,35650.0
55         Glycerol 3-phosphate,180543.0,110626.0,145451.0,143252.0,56732.5,56732.5,59840.0,61038.0
56         Glycine,22979668.0,21048244.0,23519990.0,21917264.0,1102614.0,2183883.0,2457128.0,2497179.0
57         Guanidoacetic acid,20912458.0,18455360.0,21516784.0,19714150.0,654862.0,1788097.0,1900482.0,2005029.0
58         Guanine,110568.0,40504.0,64064.0,45658.0,34649.0,78170.0,64728.0,34649.0
59         Guanosine,26593.5,26593.5,26593.5,26593.5,26593.5,26593.5,26593.5,26593.5
60         Guanosine diphosphate,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
61         Guanosine monophosphate,14228.5,14228.5,14228.5,14228.5,14228.5,14228.5,14228.5,14228.5
62         Guanosine triphosphate,10982.0,10982.0,10982.0,10982.0,10982.0,10982.0,10982.0,10982.0
63         Homocysteine,131447.0,94934.0,124048.0,99257.0,10000.0,10000.0,10000.0,10000.0
64         Hypotaurine,1677505.0,1543790.0,1937472.0,1895973.0,47490.0,121340.0,120376.0,142670.0
65         Hypoxanthine,292521088.0,260497904.0,294261792.0,274557696.0,11670470.0,14285507.0,14762492.0,17059372.0
66         Inosine,238052.0,193936.0,234481.0,203028.0,12922.0,14886.0,12922.0,14597.0
67         Inosinic acid,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
68         L-Acetylcarnitine,115497200.0,86557000.0,118936520.0,96674080.0,9607087.0,10107523.0,10718598.0,11543983.0
69         L-Alanine,166562416.0,147670960.0,166316160.0,152463216.0,11527785.0,24690198.0,27270406.0,28413506.0
70         L-Arginine,19104958.0,17893751.5,17893751.5,18164972.0,17893751.5,17893751.5,17893751.5,17893751.5
71         L-Asparagine,4338355.0,3142275.0,4013066.0,3765274.0,90567.0,245121.0,309706.0,307966.0
72         L-Aspartic acid,13209552.0,10550244.0,13222512.0,11236272.0,547837.0,999722.0,1164335.0,1247020.0
73         L-Carnitine,335746976.0,265286032.0,336823456.0,290538272.0,20960710.0,27360636.0,29599402.0,32378852.0
74         L-Cystathionine,1848213.0,631105.0,1176666.0,909924.0,99316.0,205480.0,232983.0,289602.0
75         L-Cysteine,26888.0,26888.0,26888.0,26888.0,43953.0,27398.0,26888.0,49990.0
76         L-Cystine,296427.0,296427.0,296427.0,296427.0,296427.0,296427.0,296427.0,296427.0
77         L-Glutamic acid,240878544.0,193681200.0,230641072.0,205825984.0,34168508.0,42556112.0,50268896.0,51969196.0
78         L-Glutamine,562710400.0,467413856.0,573554624.0,512134976.0,59641256.0,95418616.0,107622800.0,108998720.0
79         L-Histidine,117455392.0,99392072.0,117450080.0,106632160.0,16634672.0,27641110.0,31668638.0,31203492.0
80         L-Isoleucine,201582288.0,159261392.0,210699152.0,161911056.0,29590378.0,30339730.0,31459448.0,35242372.0
81         L-Kynurenine,2277219.0,1650304.0,2492018.0,1802515.0,4697968.0,3990146.0,4193753.0,4719182.0
82         L-Lactic acid,1133503232.0,943142464.0,1176138880.0,1009230272.0,34281528.0,36092692.0,37349224.0,40048740.0
83         L-Leucine,205144528.0,159839664.0,206915968.0,172001136.0,28347634.0,31520728.0,32434184.0,33588448.0
84         L-Lysine,25753836.0,14632469.0,21553092.0,22536300.0,11121603.0,12078088.0,11720812.0,12746246.0
85         L-Malic acid,114020128.0,87612336.0,103835120.0,100563848.0,11160340.0,15399683.0,19893884.0,18255718.0
86         L-Methionine,60329688.0,48089616.0,60337672.0,54056068.0,4897543.0,5451610.0,5413209.0,6297262.0
87         L-Phenylalanine,211600800.0,176315120.0,221629232.0,192711312.0,23188768.0,22925712.0,24234962.0,26160704.0
88         L-Proline,611968576.0,523619776.0,614130432.0,532398784.0,53174788.0,70695608.0,74355704.0,81672480.0
89         L-Serine,35917232.0,30778270.0,37788760.0,33573504.0,1592299.5,3524055.0,4374758.0,4400282.0
90         L-Threonine,4062626.0,3308030.0,3867300.0,3775303.0,96331.0,205893.0,183840.0,194681.0
91         L-Tryptophan,35115000.0,26154722.0,35314664.0,29775320.0,23699374.0,20880444.0,22296776.0,23480826.0
92         L-Tyrosine,50511276.0,39092684.0,52164680.0,42700180.0,6233210.0,6944206.0,7141409.0,8059538.0
93         L-Valine,306109088.0,253423712.0,309408736.0,274086624.0,26518938.0,30387246.0,32501128.0,35426936.0
94         N6-Acetyl-L-lysine,298798.0,298798.0,1177675.0,780570.0,954592.0,298798.0,298798.0,298798.0
95         N-Acetylglutamic acid,118829.0,94247.0,107753.0,109343.0,33297.0,34260.0,42434.0,31785.0
96         N-Acetylglutamine,15543.0,46309.0,15543.0,28471.0,15543.0,15543.0,15543.0,15543.0
97         N-Acetyl-L-alanine,3661468.0,3257826.0,3348944.0,3681845.0,379834.0,397410.0,394498.0,396458.0
98         N-Acetyl-L-methionine,188482.0,133564.0,204238.0,139189.0,31186.0,26872.0,25117.0,28363.0
99         N-Acetyl-L-phenylalanine,1282139.0,942616.0,1140809.0,903504.0,207123.0,267854.0,229468.0,297559.0
100         N-Acetylornithine,148294816.0,121706264.0,154341792.0,131237568.0,15233900.0,18962214.0,20979818.0,19460086.0
101         N-Acetylserine,5694984.0,4354078.0,5485296.0,4722640.0,153963.0,156052.0,158147.0,184562.0
102         NAD,10734.0,17183.0,10734.0,10734.0,10734.0,10734.0,10734.0,10734.0
103         NADH,10699.0,10699.0,10699.0,10699.0,10699.0,10699.0,10699.0,10699.0
104         NADP,16090.0,16090.0,16090.0,16090.0,16090.0,16090.0,16090.0,16090.0
105         NADPH,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
106         Niacinamide,130635144.0,109983136.0,137625920.0,114246872.0,2910494.0,2701912.0,2898968.0,3038739.0
107         Nicotinic acid,92865.5,92865.5,99151.0,92865.5,92865.5,92865.5,92865.5,92865.5
108         O-Phosphoethanolamine,11791.0,11791.0,11791.0,11791.0,11791.0,11791.0,11791.0,11791.0
109         Ornithine,24243494.0,15355125.0,20550540.0,20376988.0,14458093.5,14458093.5,14458093.5,14458093.5
110         Orotic acid,47700.0,43290.0,44397.0,41892.0,12265.5,12265.5,12265.5,12265.5
111         Orotidylic acid,10000.0,10000.0,24359.0,10000.0,10000.0,10000.0,10000.0,10000.0
112         Oxidized glutathione,11719.0,11719.0,11719.0,11719.0,11719.0,11719.0,11719.0,11719.0
113         Oxoadipic acid,21779.5,21779.5,21779.5,21779.5,21779.5,21779.5,21779.5,21779.5
114         Oxoglutaric acid,3599337.0,2448706.0,3435008.0,2718548.0,401668.0,337929.0,397283.0,605709.0
115         Palmitic acid,44431656.0,40927460.0,53085688.0,46591184.0,61709932.0,46772312.0,46697152.0,64693796.0
116         Pantothenic acid,217017872.0,179061824.0,226230688.0,190448960.0,54919396.0,52222088.0,49545076.0,53638988.0
117         Phenol,1167147.5,1167147.5,1167147.5,1167147.5,1167147.5,1167147.5,1167147.5,1167147.5
118         Phosphocreatine,11276.5,11276.5,11276.5,11276.5,11276.5,11276.5,11276.5,11276.5
119         Phosphoenolpyruvic acid,11121.5,11121.5,11121.5,11121.5,11121.5,11121.5,11121.5,11121.5
120         Phosphoribosyl pyrophosphate,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
121         Phosphorylcholine,623409.0,303110.0,408497.0,323429.0,135108.0,114234.0,78272.0,142535.0
122         Phosphoserine,11619.5,11619.5,11619.5,11619.5,11619.5,11619.5,11619.5,11619.5
123         Pipecolic acid,30772066.0,23020156.0,28567666.0,27003710.0,1321740.0,1663556.0,1845967.0,1779897.0
124         Propionylcarnitine,48614280.0,33452022.0,48595332.0,36821252.0,5013042.0,5021232.0,5259682.0,5529336.0
125         Pyruvic acid,2084298.0,1406028.0,1865767.0,1558725.0,100338.5,102764.0,100338.5,100338.5
126         Ribose 1-phosphate,22781.0,13386.5,19398.0,14133.0,13596.0,13635.0,14145.0,14935.0
127         Saccharopine,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
128         S-Adenosylhomocysteine,22168.0,10000.0,49377.0,10000.0,10000.0,10000.0,10000.0,10000.0
129         S-Adenosylmethionine,13314.5,13314.5,13314.5,13314.5,13314.5,13314.5,13314.5,13314.5
130         Sarcosine,40761436.0,23826920.0,25335330.0,29763100.0,1617001.0,2936223.0,3819039.0,5849022.0
131         Succinic acid,144303488.0,104375776.0,136116240.0,113552992.0,12611625.0,13617641.0,16074086.0,16671117.0
132         Taurine,22399134.0,20124404.0,22640108.0,21066412.0,171870.0,446093.0,473552.0,555757.0
133         Thymidine,445664.0,313842.0,467107.0,331035.0,29649.0,26068.5,29420.0,26068.5
134         Uracil,2111094.0,1725519.0,1984381.0,1739811.0,32862.0,32862.0,32862.0,32862.0
135         Ureidopropionic acid,456123.0,413218.0,484623.0,409179.0,20754.0,45920.0,44346.0,47282.0
136         Ureidosuccinic acid,15347.0,11087.0,11087.0,11087.0,11087.0,11087.0,11087.0,11087.0
137         Uric acid,1188947.0,699533.0,1129506.0,699692.0,33081.0,31610.0,44218.0,49757.0
138         Uridine,3645240.0,2733641.0,3964353.0,2834250.0,225850.0,256392.0,256456.0,251270.0
139         Uridine 5'-diphosphate,10588.5,10588.5,10588.5,10588.5,10588.5,10588.5,10588.5,10588.5
140         Uridine 5'-monophosphate,14771.5,14771.5,14771.5,14771.5,14771.5,14771.5,14771.5,14771.5
141         Uridine diphosphate glucose,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
142         Uridine diphosphate-N-acetylglucosamine,11501.5,11501.5,11501.5,11501.5,11501.5,11501.5,11501.5,11501.5
143         Uridine triphosphate,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
144         Valerylcarnitine,7049334.0,5331382.0,7304927.0,5415717.0,790998.0,728153.0,724193.0,775010.0
145         Xanthine,24536696.0,19434136.0,23638088.0,20083986.0,1451866.0,1738448.0,1811804.0,1915237.0
146         Xanthosine,167436.0,129599.0,149253.0,153204.0,27146.0,25053.0,20215.0,27205.0
147         Xanthylic acid,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
