pvalue,Name,NT +MP 1,NT +MP 2,NT +MP 3,NT +MP 4,sh2 +MP 1,sh2 +MP 2,sh2 +MP 3,sh2 +MP 4,Kegg ID,Ratio,Primary Pathway,,,,,Metabolite,Formula,Polarity (z),Ion Mode,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),HMDB ID,PubChem ID,Kegg ID,Pathway 1,Pathway 2,Pathway 3,,,,,,,,,,,,
0.006528983,Oxidized glutathione,266228,274336,337172,277383,209798,174224,212399,213371,C00127,0.701046386,Glutathione metabolism,,,,,D-Glyceraldehyde 3-phosphate,C3H7O6P,-,ESI,13,14,10,0.25,HMDB0001112,729,C00118,Glycolysis / Gluconeogenesis,Pentose phosphate pathway,Fructose and mannose metabolism,,,,,,,,,,Lysine degradation,3,1
0.006733398,L-Serine,9270928,10780343,11395105,10489995,8216581,7712911,7559752,7984729,C00065,0.750517325,"Glycine, serine and threonine metabolism",,,,,Ribose 1-phosphate,C5H11O8P,-,ESI,11,12.4,10,0.25,HMDB0001489,439236,C00620,Pentose phosphate pathway,Purine metabolism,,,,,,,,,,,Phenylalanine metabolism,3,1
0.007104584,Pipecolic acid,597963,592998,719365,567164,398799,406089,406984,434072,C00408,0.664359493,Lysine degradation,,,,,D-Ribose 5-phosphate,C5H11O8P,-,ESI,12.4,13.8,10,0.25,HMDB0001548,439167,C00117,Pentose phosphate pathway,Purine metabolism,Phosphonate and phosphinate metabolism,,,,,,,,,,"Valine, leucine and isoleucine degradation",3,0
0.007446723,Butyrylcarnitine,272924,336753,503736,383653,64208,53813,57387,61715,C02862,0.158391814,Fatty acid metabolism,,,,,Fructose 6-phosphate,C6H13O9P,-,ESI,12.6,13.5,10,0.25,HMDB0000124,69507,C00085,Glycolysis / Gluconeogenesis,Starch and sucrose metabolism,Methane metabolism,,,,,,,,,,Oxidative phosphorylation,3,0
0.007645499,L-Phenylalanine,8456086,10435847,11223886,10438027,7761904,6476896,6881138,6955734,C00079,0.692306027,Phenylalanine metabolism,,,,,Glucose 6-phosphate,C6H13O9P,-,ESI,13.6,14.4,10,0.25,HMDB0001401,5958,C00668,Glycolysis / Gluconeogenesis,Pentose phosphate pathway,Galactose metabolism,,,,,,,,,,Taurine and hypotaurine metabolism,2,1
0.008263642,Uridine diphosphate-N-acetylglucosamine,83388,77696,102562,91363,58212,55296,61586,64926,C00043,0.676095536,Amino sugar and nucleotide sugar metabolism,,,,,N-Acetylserine,C5H9NO4,-,ESI,7.5,8.5,10,0.25,HMDB0002931,65249,-,-,,,,,,,,,,,,Cysteine and methionine metabolism,2,1
0.008676459,L-Malic acid,16565983,20226874,20585052,17138842,12111367,13726068,13109675,13045539,C00149,0.697731024,Citrate cycle (TCA cycle),,,,,L-Glutamic acid,C5H9NO4,+,ESI,10,13,10,0.25,HMDB0000148,33032,C00025,Arginine biosynthesis,"Alanine, aspartate and glutamate metabolism",Arginine and proline metabolism,,,,,,,,,,Histidine metabolism,2,0
0.009492419,L-Methionine,10500600,12049374,13481594,11253132,8973916,8010124,8253464,8880710,C00073,0.721548704,Cysteine and methionine metabolism,,,,,Creatine,C4H9N3O2,+,ESI,10,11.5,10,0.25,HMDB0000064,586,C00300,"Glycine, serine and threonine metabolism",Arginine and proline metabolism,,,,,,,,,,,Sulfur metabolism,2,0
0.010012976,L-Asparagine,15315032,16492308,19561580,17796310,14017332,12578270,11982628,12815186,C00152,0.743052774,"Alanine, aspartate and glutamate metabolism",,,,,L-Lysine,C6H14N2O2,+,ESI,17,18.5,10,0.25,HMDB0000182,5962,C00047,Lysine biosynthesis,Lysine degradation,Biotin metabolism,,,,,,,,,,Oncometabolites,1,1
0.010127198,L-Carnitine,2649281,3024388,3710619,2787870,1817721,1623441,1714853,1751244,C00318,0.567463797,Fatty acid metabolism,,,,,L-Arginine,C6H14N4O2,+,ESI,18,20,10,0.25,HMDB0000517,6322,C00062,Arginine biosynthesis,Monobactam biosynthesis,Arginine and proline metabolism,,,,,,,,,,D-Glutamine and D-glutamate metabolism,1,1
0.010209277,L-Leucine,19639484,23887062,24935714,21675042,17350854,15802729,15831349,17332046,C00123,0.735732893,"Valine, leucine and isoleucine degradation",,,,,L-Kynurenine,C10H12N2O3,+,ESI,6,8,10,0.25,HMDB0000684,161166,C00328,Tryptophan metabolism,,,,,,,,,,,,Glycerophospholipid metabolism,1,1
0.010559978,Pantothenic acid,4604776,5330748,6414606,5430836,3508949,3292118,3322169,3636867,C00864,0.631748978,beta-Alanine metabolism,,,,,Inosine,C10H12N4O5,+,ESI,6.43,8.43,10,0.25,HMDB0000195,6021,C00294,Purine metabolism,,,,,,,,,,,,Glutathione metabolism,1,1
0.012412451,N-Acetylserine,1329983,1686402,1764597,1738541,1126110,1117821,1091238,1366736,-,0.721203837,-,,,,,Xanthosine,C10H12N4O6,-,ESI,6.71,8.71,10,0.25,HMDB0000299,64959,C01762,Purine metabolism,Caffeine metabolism,Biosynthesis of alkaloids derived from histidine and purine,,,,,,,,,,Amino sugar and nucleotide sugar metabolism,1,1
0.012834951,Carbamoyl phosphate,1154288,1337350,1392636,1398333,1023424,1143866,1005993,1087508,C00169,0.806569749,Arginine biosynthesis,,,,,Cyclic AMP,C10H12N5O6P,-,ESI,5.84,7.84,10,0.25,HMDB0000058,6076,C00575,Purine metabolism,Endocrine resistance,cAMP signaling pathway,,,,,,,,,,beta-Alanine metabolism,1,0
0.013192629,L-Alanine,22378920,25943670,27857238,23815006,19327450,18523200,18585192,19668012,C00041,0.761077857,"Alanine, aspartate and glutamate metabolism",,,,,Orotidylic acid,C10H13N2O11P,+,ESI,0,30,10,0.25,HMDB0000218,160617,C01103,Pyrimidine metabolism,,,,,,,,,,,,Pentose and glucuronate interconversions,1,0
0.015459479,4-Hydroxyproline,49409516,59721648,57829496,55449448,44117792,45721876,44163332,46123536,C01157,0.809884666,Arginine and proline metabolism,,,,,Inosinic acid,C10H13N4O8P,+,ESI,11.44,13.44,10,0.25,HMDB0000175,8582,C00130,Purine metabolism,,,,,,,,,,,,Pentose phosphate pathway,1,0
0.017040585,L-Acetylcarnitine,989574,1341739,1735731,1263409,763544,545978,595337,731899,C02571,0.494659272,Fatty acid metabolism,,,,,Xanthylic acid,C10H13N4O9P,-,ESI,10.98,12.98,10,0.25,HMDB0001554,73323,C00655,Purine metabolism,,,,,,,,,,,,Glycerolipid metabolism,1,0
0.017245711,Aminoadipic acid,276949,362935,415425,333891,225206,202213,212733,270529,C00956,0.655543478,Lysine degradation,,,,,Adenosine,C10H13N5O4,+,ESI,4.5,7,10,0.25,HMDB0000050,60961,C00212,Purine metabolism,cAMP signaling pathway,,,,,,,,,,,Nicotinate and nicotinamide metabolism,1,0
0.020849429,L-Tyrosine,4494650,5326500,6121048,4928308,4146755,3464212,3782248,3943839,C00082,0.734867377,Phenylalanine metabolism,,,,,Guanosine,C10H13N5O5,+,ESI,7.73,9.73,10,0.25,HMDB0000133,6802,C00387,Purine metabolism,,,,,,,,,,,,Lysine biosynthesis,1,0
0.022731335,L-Isoleucine,19704170,24163400,26917494,23747194,19120248,16223919,17356656,18871186,C00407,0.757117311,"Valine, leucine and isoleucine degradation",,,,,Thymidine,C10H14N2O5,+,ESI,8.16,10.16,10,0.25,HMDB0000273,5789,C00214,Pyrimidine metabolism,,,,,,,,,,,,,,
0.024975999,Adenosine triphosphate,30756,20971,32691,37641,14827,17321,15699,20394,C00002,0.559082083,Oxidative phosphorylation,,,,,Adenosine monophosphate,C10H14N5O7P,+,ESI,9.77,11.77,10,0.25,HMDB0000045,6083,C00020,Purine metabolism,Zeatin biosynthesis,,,,,,,,,,,,,
0.025122621,L-Tryptophan,931432,1096067,1466965,1119817,809655,737006,724804,615868,C00078,0.625738441,"Glycine, serine and threonine metabolism",,,,,Guanosine monophosphate,C10H14N5O8P,+,ESI,12.59,14.59,10,0.25,HMDB0001397,6804,C00144,Purine metabolism,,,,,,,,,,,,,,
0.02745161,Ureidopropionic acid,3648375,3833145,4873285,4035433,3419139,2993664,2949798,3041542,C02642,0.756800664,Pyrimidine metabolism,,,,,ADP,C10H15N5O10P2,-,ESI,11.06,13.06,10,0.25,HMDB0001341,6022,C00008,Oxidative phosphorylation,Purine metabolism,,,,,,,,,,,,,
0.027984362,Uridine diphosphate glucose,76235,75710,117241,98593,47988,51833,56438,58749,C00029,0.584611954,Pentose and glucuronate interconversions,,,,,Guanosine diphosphate,C10H15N5O11P2,-,ESI,13.85,15.85,10,0.25,HMDB0001201,8977,C00035,Purine metabolism,,,,,,,,,,,,,,
0.030470169,Ureidosuccinic acid,87431,56995,153151,133567,25070,22692,30241,18560,C00438,0.223969254,Pyrimidine metabolism,,,,,dTDP,C10H16N2O11P2,-,ESI,11,13,10,0.25,HMDB0001274,164628,C00363,Pyrimidine metabolism,,,,,,,,,,,,,,
0.031942001,N-Acetylornithine,225175,252475,363430,220468,189394,117035,134916,156042,C00437,0.562750813,Arginine biosynthesis,,,,,Adenosine triphosphate,C10H16N5O13P3,-,ESI,12.46,14.46,10,0.25,HMDB0000538,5957,C00002,Oxidative phosphorylation,Purine metabolism,,,,,,,,,,,,,
0.036441114,L-Lactic acid,3032666,2850612,3420620,2360593,2351648,1945426,2032529,2415752,C00186,0.749741673,Glycolysis / Gluconeogenesis,,,,,Guanosine triphosphate,C10H16N5O14P3,-,ESI,15,17,10,0.25,HMDB0001273,6830,C00044,Purine metabolism,Riboflavin metabolism,Folate biosynthesis,,,,,,,,,,,,
0.046251008,L-Valine,10072918,12269647,13851978,11277065,9707983,8748742,9243203,9678464,C00183,0.787384156,"Valine, leucine and isoleucine degradation",,,,,Glutathione,C10H17N3O6S,+,ESI,10,13,10,0.25,HMDB0000125,124886,C00051,Cysteine and methionine metabolism,Glutathione metabolism,,,,,,,,,,,,,
0.048058517,N-Acetyl-L-alanine,280613,347120,448126,301532,245733,209904,230630,220111,-,0.658039729,-,,,,,Argininosuccinic acid,C10H18N4O6,-,ESI,12.48,14.48,10,0.25,HMDB0000052,16950,C03406,Arginine biosynthesis,"Alanine, aspartate and glutamate metabolism",,,,,,,,,,,,,
0.051903966,Uridine 5'-diphosphate,14445,20286,21508,15342,11141,12241,11238,15883,C00015,0.705536385,Pyrimidine metabolism,,,,,Propionylcarnitine,C10H19NO4,+,ESI,5.15,7.15,10,0.25,HMDB0000824,107738,C03017,Fatty acid metabolism,,,,,,,,,,,,,,
0.060331076,Creatine,134069600,108637088,160623872,108473520,89028384,88310088,96704344,93026496,C00300,0.717206694,"Glycine, serine and threonine metabolism",,,,,L-Tryptophan,C11H12N2O2,+,ESI,6.84,8.84,10,0.25,HMDB0000929,6305,C00078,"Glycine, serine and threonine metabolism",Tryptophan metabolism,,,,,,,,,,,,,
0.071898153,L-Proline,159976480,189297504,202064000,179779328,163422752,154012336,153271776,166970912,C00148,0.872196247,Arginine and proline metabolism,,,,,N-Acetyl-L-phenylalanine,C11H13NO3,+,ESI,2.8,4,10,0.25,HMDB0000512,74839,C03519,Phenylalanine metabolism,,,,,,,,,,,,,,
0.078450522,D-Glucose,380732,355163,389832,423914,698865,454006,440533,674291,C00031,1.463367967,Glycolysis / Gluconeogenesis,,,,,5'-Methylthioadenosine,C11H15N5O3S,+,ESI,2.99,4.99,10,0.25,HMDB0001173,439176,C00170,Cysteine and methionine metabolism,Zeatin biosynthesis,,,,,,,,,,,,,
0.081416383,Guanosine monophosphate,-,19240,18605,-,-,15146,-,16423,C00144,0.834165676,Purine metabolism,,,,,Saccharopine,C11H20N2O6,-,ESI,11,14,10,0.25,HMDB0000279,160556,C00449,Lysine biosynthesis,Lysine degradation,,,,,,,,,,,,,
0.088795157,S-Adenosylmethionine,499534,510220,1021911,483665,431323,277490,268032,262854,C00019,0.492857398,Cysteine and methionine metabolism,,,,,Butyrylcarnitine,C11H21NO4,+,ESI,4.25,6.25,10,0.25,HMDB0002013,439829,C02862,Fatty acid metabolism,,,,,,,,,,,,,,
0.092364485,D-Sedoheptulose 7-phosphate,36026,24123,60477,40134,20217,17891,30110,20335,C00281,0.550839761,Pentose phosphate pathway,,,,,Valerylcarnitine,C12H23NO4,+,ESI,3.65,5.65,10,0.25,HMDB0013128,53481619,-,Fatty acid metabolism,,,,,,,,,,,,,,
0.095304189,Betaine,34647368,40103092,44997060,39283332,46212648,43779776,42973180,46019676,C00719,1.1254752,"Glycine, serine and threonine metabolism",,,,,Adenylsuccinic acid,C14H18N5O11P,-,ESI,14.5,16.5,10,0.25,HMDB0000536,440122,C03794,Purine metabolism,"Alanine, aspartate and glutamate metabolism",,,,,,,,,,,,,
0.100326346,D-Glyceraldehyde 3-phosphate,36002,15121,56508,41458,12027,14641,26093,17414,C00118,0.470692003,Glycolysis / Gluconeogenesis,,,,,S-Adenosylhomocysteine,C14H20N6O5S,-,ESI,8.59,10.59,10,0.25,HMDB0000939,439155,C00021,Cysteine and methionine metabolism,,,,,,,,,,,,,,
0.104682845,ADP,70988,83118,127377,64768,38623,37408,62560,74968,C00008,0.616775114,Oxidative phosphorylation,,,,,S-Adenosylmethionine,C15H22N6O5S,+,ESI,10.71,12.71,10,0.25,HMDB0001185,16757548,C00019,Cysteine and methionine metabolism,Arginine and proline metabolism,Arginine and proline metabolism,,,,,,,,,,,,
0.118034911,Citrulline,290895,423901,738695,386315,260402,234434,246541,255352,C00327,0.541757664,Arginine biosynthesis,,,,,Adenosine diphosphate ribose,C15H23N5O14P2,-,ESI,10.89,12.89,10,0.25,HMDB0001178,192,C00301,Purine metabolism,,,,,,,,,,,,,,
0.123456917,L-Glutamic acid,165331952,180603088,205346640,186948144,161489008,156511552,165244912,181948368,C00025,0.901066062,Arginine biosynthesis,,,,,Uridine diphosphate glucose,C15H24N2O17P2,-,ESI,12.41,14.41,10,0.25,HMDB0000286,53477679,C00029,Pentose and glucuronate interconversions,Galactose metabolism,Pyrimidine metabolism,,,,,,,,,,,,
0.171940559,Fructose 6-phosphate,22632,23014,34528,22436,21457,18280,24262,16724,C00085,0.786697203,Glycolysis / Gluconeogenesis,,,,,Palmitic acid,C16H32O2,-,ESI,1.63,3.63,10,0.25,HMDB0000220,985,C00249,Fatty acid metabolism,,,,,,,,,,,,,,
0.176194929,Glycine,5541823,6267773,7001320,6082888,6989032,6431204,6495518,7223529,C00037,1.090202325,"Glycine, serine and threonine metabolism",,,,,Uridine diphosphate-N-acetylglucosamine,C17H27N3O17P2,+,ESI,11.25,13.25,10,0.25,HMDB0000290,445675,C00043,Amino sugar and nucleotide sugar metabolism,Lipopolysaccharide biosynthesis,,,,,,,,,,,,,
0.197303438,Adenine,2979594,3811634,5026405,3021799,5750877,5080730,3451355,4515580,C00147,1.2667966,Purine metabolism,,,,,Folic acid,C19H19N7O6,+,ESI,2,4,10,0.25,HMDB0000121,6037,C00504,One carbon pool by folate,,,,,,,,,,,,,,
0.202048418,Inosine,25908,49812,55907,35833,52000,-,-,53793,C00294,1.263501732,Purine metabolism,,,,,Dihydrofolic acid,C19H21N7O6,+,ESI,0,30,10,0.25,HMDB0001056,98792,C00415,One carbon pool by folate,,,,,,,,,,,,,,
0.254391193,Fumaric acid,519343,465313,616426,263974,344216,401205,367096,333306,C00122,0.775216937,Citrate cycle (TCA cycle),,,,,Oxidized glutathione,C20H32N6O12S2,+,ESI,13.5,15.5,10,0.25,HMDB0003337,975,C00127,Glutathione metabolism,,,,,,,,,,,,,,
0.254590535,L-Histidine,2185107,1814735,2742571,1819856,2263168,1925124,1423787,1449490,C00135,0.824731038,Histidine metabolism,,,,,NAD,C21H27N7O14P2,+,ESI,9.86,11.86,10,0.25,HMDB0000902,5893,C00003,Oxidative phosphorylation,Thiamine metabolism,Nicotinate and nicotinamide metabolism,Nicotinate and nicotinamide metabolism,,,,,,,,,,,
0.273217079,cis-Aconitic acid,592458,587014,1342706,464820,691481,363975,397790,437911,C00417,0.633129651,Citrate cycle (TCA cycle),,,,,NADP,C21H28N7O17P3,+,ESI,12.66,14.66,10,0.25,HMDB0000217,5886,C00006,Glutathione metabolism,Nicotinate and nicotinamide metabolism,,,,,,,,,,,,,
0.278680264,Phosphocreatine,26925,23177,44439,25537,18797,14699,30646,26755,C02305,0.756982961,Arginine and proline metabolism,,,,,NADH,C21H29N7O14P2,-,ESI,9.47,11.47,10,0.25,HMDB0001487,928,C00004,Oxidative phosphorylation,Nicotinate and nicotinamide metabolism,,,,,,,,,,,,,
0.293795425,Valerylcarnitine,54404,66124,72138,57177,71515,59452,66626,78751,-,1.106070612,Fatty acid metabolism,,,,,NADPH,C21H30N7O17P3,-,ESI,13,15,10,0.25,HMDB0000221,22833512,C00005,Glutathione metabolism,Nicotinate and nicotinamide metabolism,,,,,,,,,,,,,
0.302166203,Glycerol 3-phosphate,28414,26030,35696,28598,26007,21803,31587,26275,C00093,0.889959406,Glycerolipid metabolism,,,,,Acetyl-CoA,C23H38N7O17P3S,+,ESI,8,11,10,0.25,HMDB0001206,444493,C00024,Glycolysis / Gluconeogenesis,Citrate cycle (TCA cycle),Fatty acid metabolism,,,,,,,,,,,,
0.302912437,Oxoglutaric acid,1288506,814528,1974483,1977870,1416809,1036090,1111396,1061667,C00026,0.763941594,Citrate cycle (TCA cycle),,,,,FAD,C27H33N9O15P2,+,ESI,7.61,9.61,10,0.25,HMDB0001248,643975,C00016,Riboflavin metabolism,,,,,,,,,,,,,,
0.30698097,Creatinine,5556590,6400549,7751738,6726330,6610878,5506220,5786976,6170650,C00791,0.910706846,Arginine and proline metabolism,,,,,Glycine,C2H5NO2,+,ESI,10.67,12.67,20,0.25,HMDB0000123,750,C00037,"Glycine, serine and threonine metabolism",Purine metabolism,Glutathione metabolism,,,,,,,,,,,,
0.320403527,Taurine,3309328,4024798,4458414,3832642,3538212,3293063,3695851,3895244,C00245,0.923020929,Taurine and hypotaurine metabolism,,,,,Hypotaurine,C2H7NO2S,-,ESI,10,12,10,0.25,HMDB0000965,107812,C00519,Taurine and hypotaurine metabolism,Sulfur metabolism,,,,,,,,,,,,,
0.329406302,N-Acetyl-L-methionine,14504,17589,17660,16048,17978,12681,13929,15355,C02712,0.910973997,Sulfur metabolism,,,,,Taurine,C2H7NO3S,-,ESI,10.23,12.23,10,0.25,HMDB0000251,1123,C00245,Taurine and hypotaurine metabolism,Sulfur metabolism,,,,,,,,,,,,,
0.357790737,Palmitic acid,875200,864271,3409826,2139449,699070,-,4364922,9851377,C00249,2.728474647,Fatty acid metabolism,,,,,O-Phosphoethanolamine,C2H8NO4P,+,ESI,11.45,13.45,10,0.25,HMDB0000224,1015,C00346,Glycerophospholipid metabolism,,,,,,,,,,,,,,
0.361477533,Beta-Alanine,221627,274239,286928,258332,244103,266694,208677,247932,C00099,0.929192048,Pyrimidine metabolism,,,,,Pyruvic acid,C3H4O3,-,ESI,8,12,20,0.25,HMDB0000243,1060,C00022,Glycolysis / Gluconeogenesis,Citrate cycle (TCA cycle),Pentose phosphate pathway,,,,,,,,,,,,
0.365353454,Adenosine diphosphate ribose,73421,99115,105946,28432,46739,50002,61260,72513,C00301,0.751070332,Purine metabolism,,,,,Phosphoenolpyruvic acid,C3H5O6P,-,ESI,13.59,15.59,10,0.25,HMDB0000263,1005,C00074,Glycolysis / Gluconeogenesis,Citrate cycle (TCA cycle),Pyruvate metabolism,,,,,,,,,,,,
0.369535319,Niacinamide,38118220,52633732,60771400,18693644,26066722,30351384,34715928,39438240,C00153,0.767093046,Nicotinate and nicotinamide metabolism,,,,,L-Lactic acid,C3H6O3,-,ESI,6.17,8.17,20,0.25,HMDB0000190,107689,C00186,Glycolysis / Gluconeogenesis,Pyruvate metabolism,,,,,,,,,,,,,
0.379472937,Adenosine monophosphate,575605,1093789,944784,363174,485094,562299,629369,607664,C00020,0.767267693,Purine metabolism,,,,,Guanidoacetic acid,C3H7N3O2,+,ESI,10.71,12.71,10,0.25,HMDB0000128,763,C00581,"Glycine, serine and threonine metabolism",Arginine and proline metabolism,,,,,,,,,,,,,
0.398667642,N6-Acetyl-L-lysine,41666,43060,305179,29792,38186,41893,36818,40424,C02727,0.374844233,Lysine degradation,,,,,L-Cysteine,C3H7NO2S,+,ESI,13,17,10,0.25,HMDB0000574,5862,C00097,"Glycine, serine and threonine metabolism",Cysteine and methionine metabolism,Sulfur metabolism,,,,,,,,,,,,
0.436173824,Acetylcysteine,-,-,11445,12110,14937,10271,11386,14919,C06809,1.09346211,Sulfur metabolism,,,,,L-Serine,C3H7NO3,+,ESI,10.77,12.77,10,0.25,HMDB0000187,5951,C00065,"Glycine, serine and threonine metabolism",Cysteine and methionine metabolism,Sulfur metabolism,,,,,,,,,,,,
0.476650713,L-Arginine,19774244,20015902,17751870,20745210,18652350,19347364,-,-,C00062,0.970776867,Arginine biosynthesis,,,,,3-Phosphoglyceric acid,C3H7O7P,-,ESI,12.99,14.99,10,0.25,HMDB0000807,724,C00197,Glycolysis / Gluconeogenesis,Pentose phosphate pathway,"Glycine, serine and threonine metabolism",,,,,,,,,,,,
0.490762236,Choline,26839066,20504604,17151794,24600108,23246016,29495412,26148586,19207254,C00114,1.101034157,"Glycine, serine and threonine metabolism",,,,,Phosphoserine,C3H8NO6P,+,ESI,11.46,13.46,10,0.25,HMDB0000272,68841,C01005,"Glycine, serine and threonine metabolism",Cysteine and methionine metabolism,,,,,,,,,,,,,
0.508688947,Dihydroxyacetone phosphate,22276,60850,81484,11636,18350,18163,40452,47339,C00111,0.705286928,Glycolysis / Gluconeogenesis,,,,,"2,3-Diphosphoglyceric acid",C3H8O10P2,-,ESI,12,15,10,0.25,HMDB0001294,186004,C01159,Glycolysis / Gluconeogenesis,,,,,,,,,,,,,,
0.509339017,Guanine,54048,93172,84741,42757,120745,80550,53756,71901,C00242,1.190136795,Purine metabolism,,,,,Glycerol 3-phosphate,C3H9O6P,-,ESI,11.5,13,10,0.25,HMDB0000126,439162,C00093,Glycerolipid metabolism,Glycerophospholipid metabolism,Choline Metabolism,,,,,,,,,,,,
0.514550571,Hypoxanthine,136631,473873,697414,68486,279829,162861,187438,305476,C00262,0.679745191,Purine metabolism,,,,,Phosphocreatine,C4H10N3O5P,-,ESI,11.17,13.17,10,0.25,HMDB0001511,587,C02305,Arginine and proline metabolism,Energy Metabolism,,,,,,,,,,,,,
0.525690303,Xanthine,87700,113058,171602,160168,135489,89158,93524,147653,C00385,0.874740859,Purine metabolism,,,,,Uracil,C4H4N2O2,+,ESI,5.44,7.44,10,0.25,HMDB0000300,1174,C00106,Pyrimidine metabolism,beta-Alanine metabolism,Pantothenate and CoA biosynthesis,,,,,,,,,,,,
0.534478908,Uridine 5'-monophosphate,45629,67623,58368,26338,39755,42499,46141,44394,C00105,0.872856869,Pyrimidine metabolism,,,,,Fumaric acid,C4H4O4,-,ESI,12.15,14.15,10,0.25,HMDB0000134,444972,C00122,Citrate cycle (TCA cycle),Oxidative phosphorylation,Arginine biosynthesis,,,,,,,,,,,,
0.555943545,Phosphoserine,74258,76375,47799,94504,71310,61825,71853,61907,C01005,0.911103449,"Glycine, serine and threonine metabolism",,,,,Cytosine,C4H5N3O,+,ESI,9,11,10,0.25,HMDB0000630,597,C00380,Pyrimidine metabolism,,,,,,,,,,,,,,
0.602231438,NAD,53032,30658,46537,124379,79952,33660,34246,-,C00003,0.774310111,Oxidative phosphorylation,,,,,Allantoin,C4H6N4O3,+,ESI,9.26,11.26,10,0.25,HMDB0000462,204,C01551,Purine metabolism,Uric acid metabolism,,,,,,,,,,,,,
0.630999127,Allantoin,-,10552,12286,14009,14659,-,-,11843,C01551,1.078866665,Purine metabolism,,,,,Acetoacetic acid,C4H6O3,-,ESI,8.34,10.34,10,0.25,HMDB0000060,96,C00164,Synthesis and degradation of ketone bodies,"Valine, leucine and isoleucine degradation",Lysine degradation,,,,,,,,,,,,
