Metabolite	Formula	Labeling	Ion Type	RT Start (min)	RT End (min)	m/z Tolerance (ppm)	RT Tolerance (min)	mz	obs_mz	ppm	winner	is_global_winner	RT	RT_min	RT_max	RT_range	detections	S10141	S10142	S10143	S10144	S10145	S10146	S10147	S10148	S10149	S10150	S10151	S10152	S10153	S10154	S10155	S10156	S10157	S10158	S10159	S10160	S10161	S10162	SQ564_Blank_0	SQ564_Blank_1	SQ564_Blank_2	SQ564_Blank_3	SQ564_Blank_4	SQ564_Blank_5	SQ564_Blank_6	SQ564_Blank_7	SQ564_LQC_0	SQ564_LQC_1	SQ564_LQC_2	SQ564_LQC_3
"DGDG 31:6; [M-H]-; DGDG(9:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"-13C,13C-0,18	C46H74O15-13C,13C-0,18	"13C[0],13C[18]"	[M-H]-	11.3	12.3	10.0	1.0	883.5559	883.5481	-8.8	S10161	Yes	11.32	11.31	11.35	0.04	8	0	0	0	0	0	0	0	0	0	0	0	19828	0	15041	6253	9729	20319	14179	9339	0	25104	0	0	0	0	0	0	0	0	0	0	0	0	0
PE 28:2; [M+H]+; GPEtn(14:1(9Z)/14:1(9Z))-13C,13C-0,18	C33H62NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	12.9	13.9	10.0	1.0	650.4890	650.4949	9.1	S10144	Yes	13.78	13.38	13.93	0.54	32	21361	23481	18854	33510	21001	23761	21640	23712	19862	25196	13714	0	14248	0	17627	8617	16255	14041	17436	20888	23127	15803	14347	20707	10799	16993	12790	13276	10710	17617	16439	12002	16645	13311
"PE 38:6; [M+H]+; GPEtn(18:1(11E)/20:5(5Z,8Z,11Z,14Z,17Z))"-13C,13C-0,18	C43H74NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	13.0	14.0	10.0	1.0	782.5829	782.5883	6.9	S10149	Yes	13.44	13.44	13.44	0.00	1	0	0	0	0	0	0	0	0	17542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PE 38:4; [M+H]+; GPEtn(16:0/22:4(7Z,10Z,13Z,16Z))"-13C,13C-0,18	C43H78NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	13.0	14.0	10.0	1.0	786.6142	786.6151	1.2	S10142	Yes	13.61	13.61	13.63	0.02	2	0	7103	0	0	0	0	0	0	0	0	0	5814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CE(22:4); [M+NH4]+; 22:4 Cholesteryl ester-13C,13C-0,18	C49H80O2-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	13.0	14.0	10.0	1.0	736.7100	736.7045	-7.5	S10144	Yes	13.44	13.38	13.73	0.36	4	0	0	0	18353	0	11721	0	0	0	0	9700	14141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PE 38:4; [M+H]+; GPEtn(18:0/20:4(5E,8E,11E,14E))"-13C,13C-0,18	C43H78NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	13.1	14.1	10.0	1.0	786.6142	786.6151	1.2	S10142	Yes	13.61	13.61	13.63	0.02	2	0	7103	0	0	0	0	0	0	0	0	0	5814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PE 38:6; [M+H]+; GPEtn(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"-13C,13C-0,18	C43H74NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	13.2	14.2	10.0	1.0	782.5829	782.5883	6.9	S10149	Yes	13.44	13.44	13.44	0.00	1	0	0	0	0	0	0	0	0	17542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PE 38:4; [M+H]+; GPEtn(14:0/24:4(5Z,8Z,11Z,14Z))"-13C,13C-0,18	C43H78NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	13.2	14.2	10.0	1.0	786.6142	786.6151	1.2	S10142	Yes	13.61	13.61	13.63	0.02	2	0	7103	0	0	0	0	0	0	0	0	0	5814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PE 38:7; [M+H]+; GPEtn(16:1(7Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"-13C,13C-0,18	C43H72NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	13.4	14.4	10.0	1.0	780.5672	780.5618	-6.9	S10162	Yes	13.90	13.90	14.37	0.47	33	143160	120614	105062	217363	15710	103138	53631	162455	132846	106033	93119	128562	197536	0	146761	83210	106117	125255	97952	250018	169006	346325	6788	5821	5320	5061	3827	6157	5876	5090	7855	5793	6937	10560
"PE 36:5; [M+H]+; GPEtn(16:0/20:5(5Z,8Z,11Z,14Z,17Z))"-13C,13C-0,18	C41H72NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	13.4	14.4	10.0	1.0	756.5672	756.5602	-9.3	SQ564_Blank_2	Yes	13.75	13.75	13.75	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2882	0	0	0	0	0	0	0	0	0
"PE 38:5; [M+H]+; GPEtn(18:0/20:5(5Z,8Z,11Z,14Z,17Z))"-13C,13C-0,18	C43H76NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	13.5	14.5	10.0	1.0	784.5985	784.6057	9.2	S10142	Yes	14.11	14.11	14.11	0.00	1	0	18158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PE 40:9; [M+H]+; GPEtn(18:3(6Z,9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"-13C,13C-0,18	C45H72NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	13.5	14.5	10.0	1.0	804.5672	804.5622	-6.2	S10158	Yes	13.99	13.93	14.03	0.11	21	129227	148478	83470	108778	0	105787	35637	106194	113354	144974	164705	226460	166016	245371	152967	112353	200045	353225	75639	124419	330019	228317	0	0	0	0	0	0	0	0	0	0	0	0
"PE 40:7; [M+H]+; GPEtn(20:2(11Z,14Z)/20:5(5Z,8Z,11Z,14Z,17Z))"-13C,13C-0,18	C45H76NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	13.5	14.5	10.0	1.0	808.5985	808.6051	8.1	S10161	Yes	13.84	13.62	13.88	0.26	7	0	12407	0	0	0	0	5017	0	9203	8253	10578	0	0	0	0	0	0	0	0	0	16296	0	3954	0	0	0	0	0	0	0	0	0	0	0
"PE 42:10; [M+H]+; GPEtn(20:4(5E,8E,11E,14E)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"-13C,13C-0,18	C47H74NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	13.5	14.5	10.0	1.0	830.5829	830.5749	-9.6	S10157	Yes	14.07	13.53	14.13	0.60	9	0	0	6988	9719	0	8268	5052	4032	0	8226	37263	0	0	0	0	0	101264	0	0	0	0	0	0	0	0	0	3619	0	0	0	0	0	0	0
"PE 40:7; [M+H]+; GPEtn(18:1(11E)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"-13C,13C-0,18	C45H76NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	13.5	14.5	10.0	1.0	808.5985	808.6051	8.1	S10161	Yes	13.84	13.62	13.88	0.26	7	0	12407	0	0	0	0	5017	0	9203	8253	10578	0	0	0	0	0	0	0	0	0	16296	0	3954	0	0	0	0	0	0	0	0	0	0	0
"PE 38:5; [M+H]+; GPEtn(16:0/22:5(4Z,7Z,10Z,13Z,16Z))"-13C,13C-0,18	C43H76NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	13.5	14.5	10.0	1.0	784.5985	784.6057	9.2	S10142	Yes	14.11	14.11	14.11	0.00	1	0	18158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PE 36:3; [M+H]+; GPEtn(16:0/20:3(5Z,8Z,11Z))"-13C,13C-0,18	C41H76NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	13.5	14.5	10.0	1.0	760.5985	760.5970	-2.0	S10152	Yes	13.54	13.53	14.42	0.89	20	0	0	0	0	0	0	0	0	0	0	0	100865	13571	32084	0	100489	21015	61718	25721	27872	72789	0	6720	10986	9961	14208	5654	7573	7774	12242	0	12337	11370	6652
"PE 39:6; [M+H]+; GPEtn(17:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"-13C,13C-0,18	C44H76NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	13.5	14.5	10.0	1.0	796.5985	796.6046	7.6	S10142	Yes	14.01	14.01	14.01	0.01	3	0	66033	0	0	0	0	0	55797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5511	0	0	0	0	0	0
"PE 37:4; [M+H]+; GPEtn(17:0/20:4(5E,8E,11E,14E))"-13C,13C-0,18	C42H76NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	13.6	14.6	10.0	1.0	772.5985	772.6062	9.9	S10156	Yes	13.92	13.63	14.51	0.88	14	0	0	0	0	0	15685	0	0	0	0	0	0	0	0	0	23926	0	0	0	0	0	0	7150	8272	5821	5565	8225	7734	5240	6637	7670	9942	7428	4558
PE 34:1; [M+H]+; GPEtn(16:0/18:1(11E))-13C,13C-0,18	C39H76NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	13.6	14.6	10.0	1.0	736.5985	736.5984	-0.2	S10158	Yes	14.18	14.06	14.18	0.12	3	0	25360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87771	0	0	0	0	0	0	0	0	0	0	0	0	0	33602	0	0
"PE 40:5; [M+H]+; GPEtn(20:0/20:5(5Z,8Z,11Z,14Z,17Z))"-13C,13C-0,18	C45H80NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	13.6	14.6	10.0	1.0	812.6298	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PE 38:3; [M+H]+; GPEtn(18:0/20:3(5Z,8Z,11Z))"-13C,13C-0,18	C43H80NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	13.6	14.6	10.0	1.0	788.6298	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PE 39:4; [M+H]+; GPEtn(17:0/22:4(7Z,10Z,13Z,16Z))"-13C,13C-0,18	C44H80NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	13.7	14.7	10.0	1.0	800.6298	800.6239	-7.4	S10158	Yes	13.96	13.93	14.55	0.62	21	0	0	0	0	0	0	0	0	0	43064	0	112194	78679	8632	0	73702	28733	186372	122230	0	21907	0	62829	63854	61443	67204	72034	66104	65175	78849	65987	67383	67759	64031
"PE 38:3; [M+H]+; GPEtn(16:1(7Z)/22:2(13Z,16Z))"-13C,13C-0,18	C43H80NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	13.7	14.7	10.0	1.0	788.6298	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PE 42:6; [M+H]+; GPEtn(20:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"-13C,13C-0,18	C47H82NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	13.7	14.7	10.0	1.0	838.6455	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PE 36:1; [M+H]+; GPEtn(16:0/20:1(11E))-13C,13C-0,18	C41H80NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	13.7	14.7	10.0	1.0	764.6298	764.6369	9.3	S10160	Yes	14.32	14.23	14.46	0.23	24	24052	4823	19212	0	8502	0	0	37096	12805	10711	0	0	50610	0	52068	0	0	7155	50746	65283	52358	0	10340	18312	5899	23970	0	21778	14037	18654	43102	12831	8689	39502
"PE 38:2; [M+H]+; GPEtn(18:0/20:2(11Z,14Z))"-13C,13C-0,18	C43H82NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	13.7	14.7	10.0	1.0	790.6455	790.6393	-7.8	S10141	Yes	14.43	14.42	14.43	0.01	3	14254	0	7777	5653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PE 38:1; [M+H]+; GPEtn(16:0/22:1(13Z))-13C,13C-0,18	C43H84NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	13.7	14.7	10.0	1.0	792.6611	792.6533	-9.9	S10160	Yes	14.06	13.81	14.66	0.85	15	26171	0	41261	0	15107	19582	22222	0	0	17533	24226	20768	48900	35633	0	0	0	31029	35661	68879	4941	0	0	0	0	0	0	0	0	0	0	0	4046	0
TG 53:3; [M+NH4]+; TG(17:0/18:1/18:2)-13C,13C-0,18	C56H102O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	13.7	14.7	10.0	1.0	906.8619	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PE 36:5; [M+H]+; GPEtn(14:1(9Z)/22:4(7Z,10Z,13Z,16Z))"-13C,13C-0,18	C41H72NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	13.8	14.8	10.0	1.0	756.5672	756.5692	2.6	S10162	Yes	14.53	14.53	14.58	0.05	11	0	0	0	0	0	0	0	0	0	0	0	23309	18452	33861	13975	27895	35171	25505	17382	24379	29009	41158	0	0	0	0	0	0	0	0	0	0	0	0
"PE 40:9; [M+H]+; GPEtn(20:4(5E,8E,11E,14E)/20:5(5Z,8Z,11Z,14Z,17Z))"-13C,13C-0,18	C45H72NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	13.8	14.8	10.0	1.0	804.5672	804.5622	-6.2	S10158	Yes	13.99	13.93	14.03	0.11	21	129227	148478	83470	108778	0	105787	35637	106194	113354	144974	164705	226460	166016	245371	152967	112353	200045	353225	75639	124419	330019	228317	0	0	0	0	0	0	0	0	0	0	0	0
"PE 36:5; [M+H]+; GPEtn(18:1(11E)/18:4(6Z,9Z,12Z,15Z))"-13C,13C-0,18	C41H72NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	13.9	14.9	10.0	1.0	756.5672	756.5692	2.6	S10162	Yes	14.53	14.53	14.58	0.05	11	0	0	0	0	0	0	0	0	0	0	0	23309	18452	33861	13975	27895	35171	25505	17382	24379	29009	41158	0	0	0	0	0	0	0	0	0	0	0	0
"PE 36:3; [M+H]+; GPEtn(14:1(9Z)/22:2(13Z,16Z))"-13C,13C-0,18	C41H76NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	13.9	14.9	10.0	1.0	760.5985	760.5927	-7.7	SQ564_Blank_3	Yes	14.35	14.23	14.83	0.60	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6720	10986	9961	14208	8274	7573	7774	12242	0	12337	11370	6652
"PE 37:4; [M+H]+; GPEtn(18:4(6Z,9Z,12Z,15Z)/19:0)"-13C,13C-0,18	C42H76NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	13.9	14.9	10.0	1.0	772.5985	772.5920	-8.4	SQ564_LQC_1	Yes	14.22	13.95	14.91	0.96	17	0	9108	5864	0	0	0	5101	0	0	0	7066	0	0	0	0	8216	0	0	0	0	0	0	7210	7014	8971	5565	5682	4293	4692	6325	7321	9942	6392	5723
"PE 39:4; [M+H]+; GPEtn(19:0/20:4(5E,8E,11E,14E))"-13C,13C-0,18	C44H80NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	14.2	15.2	10.0	1.0	800.6298	800.6237	-7.6	SQ564_Blank_7	Yes	14.51	14.49	15.18	0.68	34	55024	50016	54340	50813	56504	51449	49539	47880	49546	58874	58356	39792	71462	68270	47825	42859	60210	33357	55543	61740	42492	52920	62829	63854	61443	67204	72034	66104	65175	78849	65987	67383	67759	64031
"PE 42:6; [M+H]+; GPEtn(18:2(2E,4E)/24:4(5Z,8Z,11Z,14Z))"-13C,13C-0,18	C47H82NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	14.2	15.2	10.0	1.0	838.6455	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PE 38:2; [M+H]+; GPEtn(16:0/22:2(13Z,16Z))"-13C,13C-0,18	C43H82NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	14.2	15.2	10.0	1.0	790.6455	790.6533	9.9	S10160	Yes	14.98	14.42	15.02	0.60	9	14254	3564	7777	5653	0	0	0	5312	0	4593	6132	0	0	0	0	0	0	0	6119	19935	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PE 38:5; [M+H]+; GPEtn(14:1(9Z)/24:4(5Z,8Z,11Z,14Z))"-13C,13C-0,18	C43H76NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	14.4	15.4	10.0	1.0	784.5985	784.6064	10.0	S10153	Yes	14.57	14.57	15.24	0.67	2	0	0	0	0	0	0	0	0	0	0	0	0	11942	0	0	4370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PE 36:3; [M+H]+; GPEtn(18:0/18:3(6Z,9Z,12Z))"-13C,13C-0,18	C41H76NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	15.0	16.0	10.0	1.0	760.5985	760.6056	9.3	S10160	Yes	15.68	15.10	15.70	0.59	28	4188	8334	5352	3510	0	0	0	0	4514	6248	0	120583	46692	175066	110063	145927	91187	93681	84335	295627	248175	185137	3203	4674	7727	4534	4018	7465	5950	5565	0	6267	6212	10289
"PE 42:9; [M+H]+; GPEtn(20:3(5Z,8Z,11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"-13C,13C-0,18	C47H76NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	15.5	16.5	10.0	1.0	832.5985	832.6007	2.6	S10154	Yes	15.62	15.57	16.27	0.69	11	0	3297	0	0	0	0	0	0	0	0	0	6212	0	15923	6898	11097	10009	11290	0	9882	11701	8471	0	0	0	0	0	0	0	0	4262	0	0	0
"PE 36:5; [M+H]+; GPEtn(14:0/22:5(4Z,7Z,10Z,13Z,16Z))"-13C,13C-0,18	C41H72NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	16.8	17.8	10.0	1.0	756.5672	756.5616	-7.4	S10160	Yes	17.41	17.08	17.41	0.34	2	0	5726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9127	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PE 34:1; [M+H]+; GPEtn(14:0/20:1(11E))-13C,13C-0,18	C39H76NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	17.0	18.0	10.0	1.0	736.5985	736.5930	-7.5	S10151	Yes	17.29	17.19	17.29	0.09	2	0	0	0	0	0	0	0	0	0	0	6420	0	0	0	4109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PE 40:7; [M+H]+; GPEtn(20:3(5Z,8Z,11Z)/20:4(5E,8E,11E,14E))"-13C,13C-0,18	C45H76NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	17.0	18.0	10.0	1.0	808.5985	808.5997	1.5	S10149	Yes	17.23	17.23	17.50	0.28	4	0	0	0	6432	0	0	0	0	6897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5891	0	4880	0	0	0	0	0	0	0	0
