Metabolite	Formula	Polarity (z)	Labeling	Ion Mode	RT Start (min)	RT End (min)	m/z Tolerance (ppm)	RT Tolerance (min)	mz	obs_mz	ppm	winner	is_global_winner	RT	RT_min	RT_max	RT_range	detections	S04426	S04427	S04428	S04429	S04430	S04431	S04432	S04433	S04434	S04435	SQ319_B_0	SQ319_B_1	SQ319_B_2	SQ319_B_3	SQ319_B_4	SQ319_B_5
Betaine-13C-1	C5H11NO2-13C-1	+	13C	ESI	7.0	8.2	10.0	0.2	119.0896	119.0895	-0.9	S04432	No	7.97	7.94	8.00	0.07	13	41868	26877	16865	6510	39228	26981	75763	22851	47434	29750	0	0	2060	4347	0	2027
Betaine-13C-2	C5H11NO2-13C-2	+	13C	ESI	7.0	8.2	10.0	0.2	120.0930	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Betaine-13C-3	C5H11NO2-13C-3	+	13C	ESI	7.0	8.2	10.0	0.2	121.0963	121.0953	-8.4	S04426	No	7.99	7.99	7.99	0.00	1	5899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Betaine-13C-4	C5H11NO2-13C-4	+	13C	ESI	7.0	8.2	10.0	0.2	122.0997	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Betaine-13C-5	C5H11NO2-13C-5	+	13C	ESI	7.0	8.2	10.0	0.2	123.1030	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L-Valine-13C-0	C5H11NO2-13C-0	+	13C	ESI	8.3	9.2	10.0	0.2	118.0863	118.0861	-1.3	S04432	Yes	9.04	8.99	9.05	0.06	16	11328204	11661317	8612517	8620252	9322067	7725954	23109674	10624565	11928142	16050589	193912	155404	160693	167936	201104	170768
L-Valine-13C-1	C5H11NO2-13C-1	+	13C	ESI	8.3	9.2	10.0	0.2	119.0896	119.0893	-2.6	S04432	No	9.04	8.99	9.05	0.06	14	558158	635112	320709	367905	365506	294644	1267166	529638	509213	828853	4063	0	2872	3681	0	2001
L-Valine-13C-2	C5H11NO2-13C-2	+	13C	ESI	8.3	9.2	10.0	0.2	120.0930	120.0927	-2.2	S04432	No	9.04	9.02	9.04	0.03	5	0	0	4179	0	4841	0	16681	0	12082	12276	0	0	0	0	0	0
L-Valine-13C-3	C5H11NO2-13C-3	+	13C	ESI	8.3	9.2	10.0	0.2	121.0963	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L-Valine-13C-4	C5H11NO2-13C-4	+	13C	ESI	8.3	9.2	10.0	0.2	122.0997	122.0995	-1.4	S04433	No	9.02	9.02	9.02	0.00	1	0	0	0	0	0	0	0	14097	0	0	0	0	0	0	0	0
L-Valine-13C-5	C5H11NO2-13C-5	+	13C	ESI	8.3	9.2	10.0	0.2	123.1030	123.1029	-1.1	S04433	No	9.02	8.99	9.04	0.05	9	21073	13374	14183	5272	0	5586	20760	334744	11821	18721	0	0	0	0	0	0
N-Acetyl-L-alanine-13C-0	C5H9NO3-13C-0	+	13C	ESI	6.0	7.0	10.0	0.2	132.0655	132.0652	-2.4	SQ319_B_0	No	6.00	6.00	6.28	0.28	16	39052	19203	20189	23199	23167	15516	41406	20343	20110	33491	102664	55822	16133	30586	11432	15391
N-Acetyl-L-alanine-13C-1	C5H9NO3-13C-1	+	13C	ESI	6.0	7.0	10.0	0.2	133.0689	133.0687	-1.3	S04426	No	6.05	6.00	6.17	0.17	3	3125	0	0	0	2363	0	0	0	0	0	2556	0	0	0	0	0
N-Acetyl-L-alanine-13C-2	C5H9NO3-13C-2	+	13C	ESI	6.0	7.0	10.0	0.2	134.0722	134.0710	-9.2	SQ319_B_4	No	6.04	6.00	6.28	0.28	11	23811	9294	11259	12849	0	14801	0	0	11641	14592	4225	0	6631	0	34869	18794
N-Acetyl-L-alanine-13C-3	C5H9NO3-13C-3	+	13C	ESI	6.0	7.0	10.0	0.2	135.0756	135.0761	3.8	S04426	No	6.05	6.04	6.28	0.24	12	9502	0	2196	3143	2771	3383	3494	2985	1772	0	0	0	2567	2853	4358	9263
N-Acetyl-L-alanine-13C-4	C5H9NO3-13C-4	+	13C	ESI	6.0	7.0	10.0	0.2	136.0789	136.0782	-5.4	S04433	No	6.28	6.28	6.28	0.00	1	0	0	0	0	0	0	0	3324	0	0	0	0	0	0	0	0
N-Acetyl-L-alanine-13C-5	C5H9NO3-13C-5	+	13C	ESI	6.0	7.0	10.0	0.2	137.0823	137.0817	-4.3	SQ319_B_4	Yes	6.04	6.00	6.28	0.28	16	102500	50070	76895	95703	87317	112301	75042	92828	55005	49768	39607	18741	113417	82210	975602	320170
4-Hydroxyproline-13C-0	C5H9NO3-13C-0	+	13C	ESI	10.2	11.2	10.0	0.2	132.0655	132.0651	-3.2	S04432	Yes	10.91	10.87	11.06	0.19	16	52527768	51749420	44861444	35423592	37598364	35463424	71808736	59573620	60893580	71741344	203728	69743	119027	33773	26348	15563
4-Hydroxyproline-13C-1	C5H9NO3-13C-1	+	13C	ESI	10.2	11.2	10.0	0.2	133.0689	133.0684	-3.6	S04435	No	10.87	10.87	11.06	0.18	13	2867611	2827578	2442920	1906742	2138640	1726553	3959640	3348174	3528545	4198208	2892	0	6557	0	0	1535
4-Hydroxyproline-13C-2	C5H9NO3-13C-2	+	13C	ESI	10.2	11.2	10.0	0.2	134.0722	134.0717	-3.9	S04434	No	10.90	10.87	11.06	0.19	15	27948	26194	13810	0	9230	7069	19243	32623	43311	35108	3188	3497	3059	9062	11299	12221
4-Hydroxyproline-13C-3	C5H9NO3-13C-3	+	13C	ESI	10.2	11.2	10.0	0.2	135.0756	135.0760	3.1	S04428	No	10.89	10.88	11.06	0.18	7	0	0	6666	0	0	0	0	0	0	0	2501	2745	1688	2806	2450	1788
4-Hydroxyproline-13C-4	C5H9NO3-13C-4	+	13C	ESI	10.2	11.2	10.0	0.2	136.0789	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4-Hydroxyproline-13C-5	C5H9NO3-13C-5	+	13C	ESI	10.2	11.2	10.0	0.2	137.0823	137.0819	-2.9	SQ319_B_4	No	11.02	10.88	11.06	0.18	15	9268	9920	13841	6552	10585	9529	11810	10132	13162	0	12022	14747	5653	8111	165916	62077
L-Isoleucine-13C-0	C6H13NO2-13C-0	+	13C	ESI	6.0	7.5	10.0	0.2	132.1019	132.1014	-3.8	S04435	Yes	7.44	7.41	7.45	0.04	16	23309526	25033886	17707794	16587162	16267296	16903468	32381342	24945308	24680690	35423024	79410	76418	76478	65074	84712	69496
L-Isoleucine-13C-1	C6H13NO2-13C-1	+	13C	ESI	6.0	7.5	10.0	0.2	133.1053	133.1047	-4.2	S04435	No	7.44	7.41	7.45	0.04	12	1582482	1614298	1084312	989872	971588	1017953	2219833	1580852	1717251	2537110	0	0	0	2962	0	2051
L-Isoleucine-13C-2	C6H13NO2-13C-2	+	13C	ESI	6.0	7.5	10.0	0.2	134.1086	134.1080	-4.6	S04435	No	7.44	7.43	7.45	0.02	10	18913	20497	5441	3041	4206	14740	22254	24467	29008	39697	0	0	0	0	0	0
L-Isoleucine-13C-3	C6H13NO2-13C-3	+	13C	ESI	6.0	7.5	10.0	0.2	135.1120	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L-Isoleucine-13C-4	C6H13NO2-13C-4	+	13C	ESI	6.0	7.5	10.0	0.2	136.1153	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L-Isoleucine-13C-5	C6H13NO2-13C-5	+	13C	ESI	6.0	7.5	10.0	0.2	137.1187	137.1180	-5.0	S04433	No	7.44	7.44	7.44	0.00	1	0	0	0	0	0	0	0	26098	0	0	0	0	0	0	0	0
L-Isoleucine-13C-6	C6H13NO2-13C-6	+	13C	ESI	6.0	7.5	10.0	0.2	138.1220	138.1215	-3.9	S04433	No	7.44	7.43	7.45	0.02	10	60883	24750	18144	9550	4610	20522	24958	1153113	50485	67211	0	0	0	0	0	0
L-Leucine-13C-0	C6H13NO2-13C-0	+	13C	ESI	7.5	9.0	10.0	0.2	132.1019	132.1014	-3.8	S04432	Yes	7.92	7.87	7.99	0.12	16	31414830	31048858	24205384	23652686	25939990	23027224	50719472	32309412	33811628	45092252	104761	89319	102058	85848	94939	90004
L-Leucine-13C-1	C6H13NO2-13C-1	+	13C	ESI	7.5	9.0	10.0	0.2	133.1053	133.1048	-3.5	S04432	No	7.92	7.88	7.99	0.11	15	2050389	2167826	1655668	1527114	1744552	1386698	3310998	2186210	2272329	3198320	0	3498	2373	2522	8185	2864
L-Leucine-13C-2	C6H13NO2-13C-2	+	13C	ESI	7.5	9.0	10.0	0.2	134.1086	134.1081	-3.8	S04435	No	7.92	7.90	7.95	0.05	9	23587	23959	24939	15673	0	8543	41856	30599	28697	50424	0	0	0	0	0	0
L-Leucine-13C-3	C6H13NO2-13C-3	+	13C	ESI	7.5	9.0	10.0	0.2	135.1120	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L-Leucine-13C-4	C6H13NO2-13C-4	+	13C	ESI	7.5	9.0	10.0	0.2	136.1153	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L-Leucine-13C-5	C6H13NO2-13C-5	+	13C	ESI	7.5	9.0	10.0	0.2	137.1187	137.1181	-4.2	S04433	No	7.95	7.95	7.95	0.00	1	0	0	0	0	0	0	0	53051	0	0	0	0	0	0	0	0
L-Leucine-13C-6	C6H13NO2-13C-6	+	13C	ESI	7.5	9.0	10.0	0.2	138.1220	138.1215	-3.9	S04433	No	7.95	7.90	7.95	0.05	10	265617	44526	86678	32394	48125	48940	71000	3338310	72245	192197	0	0	0	0	0	0
Dihydroxyacetone phosphate-13C-0	C3H7O6P-13C-0	-	13C	ESI	12.0	13.0	10.0	0.2	168.9907	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dihydroxyacetone phosphate-13C-1	C3H7O6P-13C-1	-	13C	ESI	12.0	13.0	10.0	0.2	169.9941	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dihydroxyacetone phosphate-13C-2	C3H7O6P-13C-2	-	13C	ESI	12.0	13.0	10.0	0.2	170.9975	170.9961	-7.9	S04434	No	12.54	12.40	12.71	0.32	15	15277	35454	19081	23147	12762	31793	16810	24317	37376	0	35454	30259	37373	30224	33997	26775
Dihydroxyacetone phosphate-13C-3	C3H7O6P-13C-3	-	13C	ESI	12.0	13.0	10.0	0.2	172.0008	171.9996	-7.1	S04433	Yes	12.51	12.50	12.69	0.19	10	114087	5018	129870	35489	43758	0	73272	343974	121125	119489	0	0	0	0	4735	0
D-Glyceraldehyde 3-phosphate-13C-0	C3H7O6P-13C-0	-	13C	ESI	13.0	14.0	10.0	0.2	168.9907	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D-Glyceraldehyde 3-phosphate-13C-1	C3H7O6P-13C-1	-	13C	ESI	13.0	14.0	10.0	0.2	169.9941	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D-Glyceraldehyde 3-phosphate-13C-2	C3H7O6P-13C-2	-	13C	ESI	13.0	14.0	10.0	0.2	170.9975	170.9962	-7.4	S04432	Yes	13.78	13.55	13.99	0.44	16	27833	21035	29749	21970	30562	25041	37802	26152	28112	29911	30234	30209	28416	34193	31916	27789
D-Glyceraldehyde 3-phosphate-13C-3	C3H7O6P-13C-3	-	13C	ESI	13.0	14.0	10.0	0.2	172.0008	171.9991	-10.0	SQ319_B_5	No	13.70	13.70	13.70	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2925
Ribose 1-phosphate-13C-0	C5H11O8P-13C-0	-	13C	ESI	11.0	12.4	10.0	0.2	229.0119	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ribose 1-phosphate-13C-1	C5H11O8P-13C-1	-	13C	ESI	11.0	12.4	10.0	0.2	230.0152	230.0133	-8.4	S04433	No	11.92	11.92	11.92	0.00	1	0	0	0	0	0	0	0	4738	0	0	0	0	0	0	0	0
Ribose 1-phosphate-13C-2	C5H11O8P-13C-2	-	13C	ESI	11.0	12.4	10.0	0.2	231.0186	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ribose 1-phosphate-13C-3	C5H11O8P-13C-3	-	13C	ESI	11.0	12.4	10.0	0.2	232.0219	232.0211	-3.6	S04435	Yes	11.78	11.78	11.78	0.00	1	0	0	0	0	0	0	0	0	0	7145	0	0	0	0	0	0
Ribose 1-phosphate-13C-4	C5H11O8P-13C-4	-	13C	ESI	11.0	12.4	10.0	0.2	233.0253	233.0260	3.0	S04430	No	11.64	11.64	11.64	0.00	1	0	0	0	0	6392	0	0	0	0	0	0	0	0	0	0	0
Ribose 1-phosphate-13C-5	C5H11O8P-13C-5	-	13C	ESI	11.0	12.4	10.0	0.2	234.0287	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D-Ribose 5-phosphate-13C-0	C5H11O8P-13C-0	-	13C	ESI	12.4	13.8	10.0	0.2	229.0119	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D-Ribose 5-phosphate-13C-1	C5H11O8P-13C-1	-	13C	ESI	12.4	13.8	10.0	0.2	230.0152	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D-Ribose 5-phosphate-13C-2	C5H11O8P-13C-2	-	13C	ESI	12.4	13.8	10.0	0.2	231.0186	231.0165	-9.0	S04435	No	12.82	12.82	12.82	0.00	1	0	0	0	0	0	0	0	0	0	3192	0	0	0	0	0	0
D-Ribose 5-phosphate-13C-3	C5H11O8P-13C-3	-	13C	ESI	12.4	13.8	10.0	0.2	232.0219	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D-Ribose 5-phosphate-13C-4	C5H11O8P-13C-4	-	13C	ESI	12.4	13.8	10.0	0.2	233.0253	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D-Ribose 5-phosphate-13C-5	C5H11O8P-13C-5	-	13C	ESI	12.4	13.8	10.0	0.2	234.0287	234.0274	-5.4	S04428	Yes	12.93	12.68	13.00	0.32	11	20721	4276	27961	5820	15236	7217	12051	16571	10590	15794	0	0	3321	0	0	0
Fructose 6-phosphate-13C-0	C6H13O9P-13C-0	-	13C	ESI	12.6	13.5	10.0	0.2	259.0224	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fructose 6-phosphate-13C-1	C6H13O9P-13C-1	-	13C	ESI	12.6	13.5	10.0	0.2	260.0258	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fructose 6-phosphate-13C-2	C6H13O9P-13C-2	-	13C	ESI	12.6	13.5	10.0	0.2	261.0292	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fructose 6-phosphate-13C-3	C6H13O9P-13C-3	-	13C	ESI	12.6	13.5	10.0	0.2	262.0325	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fructose 6-phosphate-13C-4	C6H13O9P-13C-4	-	13C	ESI	12.6	13.5	10.0	0.2	263.0359	263.0367	3.2	S04435	Yes	13.41	13.34	13.46	0.12	8	62912	52715	0	44253	58548	43650	47415	0	70019	82814	0	0	0	0	0	0
Fructose 6-phosphate-13C-5	C6H13O9P-13C-5	-	13C	ESI	12.6	13.5	10.0	0.2	264.0392	264.0375	-6.5	S04433	No	13.24	13.24	13.42	0.18	3	0	0	0	0	2828	0	0	6727	3935	0	0	0	0	0	0	0
Fructose 6-phosphate-13C-6	C6H13O9P-13C-6	-	13C	ESI	12.6	13.5	10.0	0.2	265.0426	265.0417	-3.3	S04433	No	13.24	13.17	13.46	0.29	13	17199	3033	47759	5073	22233	3443	18564	65639	17453	25354	0	0	4945	4036	5780	0
Glucose 6-phosphate-13C-0	C6H13O9P-13C-0	-	13C	ESI	13.6	14.4	10.0	0.2	259.0224	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glucose 6-phosphate-13C-1	C6H13O9P-13C-1	-	13C	ESI	13.6	14.4	10.0	0.2	260.0258	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glucose 6-phosphate-13C-2	C6H13O9P-13C-2	-	13C	ESI	13.6	14.4	10.0	0.2	261.0292	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glucose 6-phosphate-13C-3	C6H13O9P-13C-3	-	13C	ESI	13.6	14.4	10.0	0.2	262.0325	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glucose 6-phosphate-13C-4	C6H13O9P-13C-4	-	13C	ESI	13.6	14.4	10.0	0.2	263.0359	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glucose 6-phosphate-13C-5	C6H13O9P-13C-5	-	13C	ESI	13.6	14.4	10.0	0.2	264.0392	264.0391	-0.4	S04435	No	13.99	13.96	14.01	0.05	7	2253	0	0	4622	4578	0	3317	3221	3541	12487	0	0	0	0	0	0
Glucose 6-phosphate-13C-6	C6H13O9P-13C-6	-	13C	ESI	13.6	14.4	10.0	0.2	265.0426	265.0416	-3.7	S04435	Yes	13.99	13.92	14.03	0.10	15	36934	23321	70054	79993	136258	79120	43632	91189	90233	306541	4499	0	19448	10121	17810	10037
N-Acetylserine-13C-0	C5H9NO4-13C-0	-	13C	ESI	7.5	8.5	10.0	0.2	146.0459	146.0464	3.6	SQ319_B_2	No	8.00	7.94	8.34	0.41	16	60290	56865	34311	41653	52471	47964	65331	53954	42969	24218	53515	51754	92077	14879	31700	18611
N-Acetylserine-13C-1	C5H9NO4-13C-1	-	13C	ESI	7.5	8.5	10.0	0.2	147.0492	147.0485	-5.0	S04434	No	8.22	8.22	8.22	0.00	1	0	0	0	0	0	0	0	0	8803	0	0	0	0	0	0	0
N-Acetylserine-13C-2	C5H9NO4-13C-2	-	13C	ESI	7.5	8.5	10.0	0.2	148.0526	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N-Acetylserine-13C-3	C5H9NO4-13C-3	-	13C	ESI	7.5	8.5	10.0	0.2	149.0559	149.0549	-7.0	S04432	No	8.14	8.11	8.14	0.03	2	0	0	0	0	0	0	63219	14665	0	0	0	0	0	0	0	0
N-Acetylserine-13C-4	C5H9NO4-13C-4	-	13C	ESI	7.5	8.5	10.0	0.2	150.0593	150.0584	-6.0	S04433	No	8.11	8.11	8.14	0.03	2	0	0	0	0	0	0	36045	39333	0	0	0	0	0	0	0	0
N-Acetylserine-13C-5	C5H9NO4-13C-5	-	13C	ESI	7.5	8.5	10.0	0.2	151.0627	151.0615	-7.6	S04432	Yes	8.14	7.94	8.34	0.41	16	193721	197838	196538	159904	190442	153445	354465	337596	171005	174820	143104	167190	147516	143858	135286	120133
L-Glutamic acid-13C-0	C5H9NO4-13C-0	+	13C	ESI	10.0	13.0	10.0	0.2	148.0604	148.0599	-3.6	S04435	Yes	11.75	11.65	11.76	0.11	16	132718840	124449208	131454440	127564440	126467280	123212184	144145632	127481928	143932672	159789504	1848631	53236	1689228	79145	1713296	58278
L-Glutamic acid-13C-1	C5H9NO4-13C-1	+	13C	ESI	10.0	13.0	10.0	0.2	149.0638	149.0632	-4.0	S04435	No	11.75	11.65	11.76	0.11	14	9299144	8998039	9690995	12407559	12048140	11936981	10528155	9644841	12166836	13433161	55484	0	53785	1635	66914	0
L-Glutamic acid-13C-2	C5H9NO4-13C-2	+	13C	ESI	10.0	13.0	10.0	0.2	150.0671	150.0664	-5.0	S04429	No	11.74	11.65	11.76	0.11	16	43017300	40226048	44116436	49472516	47755336	47156052	47832780	44192576	42537284	46375604	419608	2741	373706	7286	428617	7846
L-Glutamic acid-13C-3	C5H9NO4-13C-3	+	13C	ESI	10.0	13.0	10.0	0.2	151.0705	151.0698	-4.6	S04429	No	11.74	11.65	11.76	0.11	13	10656917	10402681	11597741	15956045	15502040	15629403	11766854	10995804	11395585	12667326	51811	0	38232	0	67220	0
L-Glutamic acid-13C-4	C5H9NO4-13C-4	+	13C	ESI	10.0	13.0	10.0	0.2	152.0739	152.0731	-5.0	S04429	No	11.74	11.65	11.76	0.11	15	17337054	16548132	18238086	20377138	19590560	19891068	16950882	16243504	14215334	15131502	121182	0	99330	1655	115385	1745
L-Glutamic acid-13C-5	C5H9NO4-13C-5	+	13C	ESI	10.0	13.0	10.0	0.2	153.0772	153.0765	-4.6	S04428	No	11.72	11.65	11.76	0.11	16	10386188	9719412	11170886	9581389	9239248	9564923	9003757	10953929	6823526	6944898	62670	16879	68476	15131	71204	12656
Creatine-13C-0	C4H9N3O2-13C-0	+	13C	ESI	10.0	11.5	10.0	0.2	132.0768	132.0758	-7.2	S04426	Yes	11.00	10.98	11.06	0.08	16	6059289	4159616	4107760	3602753	4426977	4013804	5798299	2708752	1955037	2751705	60057	27887	76997	37323	45733	40140
Creatine-13C-1	C4H9N3O2-13C-1	+	13C	ESI	10.0	11.5	10.0	0.2	133.0801	133.0797	-3.1	S04426	No	11.00	10.98	11.05	0.07	12	156891	100246	100888	75605	73789	92465	105848	95372	33616	58142	2330	0	0	1613	0	0
Creatine-13C-2	C4H9N3O2-13C-2	+	13C	ESI	10.0	11.5	10.0	0.2	134.0835	134.0833	-1.2	S04426	No	11.00	10.98	11.05	0.07	11	104609	39080	50660	30684	32925	37942	52971	72797	33142	81486	3382	0	0	0	0	0
Creatine-13C-3	C4H9N3O2-13C-3	+	13C	ESI	10.0	11.5	10.0	0.2	135.0868	135.0879	8.0	S04426	No	11.00	11.00	11.00	0.00	1	6269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Creatine-13C-4	C4H9N3O2-13C-4	+	13C	ESI	10.0	11.5	10.0	0.2	136.0902	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L-Lysine-13C-0	C6H14N2O2-13C-0	+	13C	ESI	17.0	18.5	10.0	0.2	147.1128	147.1127	-0.7	S04432	No	18.05	17.95	18.44	0.49	8	0	0	0	0	0	1962	3324	2350	1890	2401	0	0	1763	0	2534	2686
L-Lysine-13C-1	C6H14N2O2-13C-1	+	13C	ESI	17.0	18.5	10.0	0.2	148.1162	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
